Address,Beds,Baths,Area,Construction,Parking,Price
"1503 E 58th St, Brooklyn, NY 11234",3,2,0,0,0,"$749,999"
"8910 Avenue J, Brooklyn, NY 11236",5,4,0,0,0,"$789,000"
"140 Quincy St #5, Brooklyn, NY 11216",2,2,781,0,0,"$779,000"
"160 Lincoln Pl APT 2A, Brooklyn, NY 11217",2,1,0,0,0,"$750,000"
"51 3rd St APT 3L, Brooklyn, NY 11231",1,1,650,0,0,"$795,000"
"813 8th Ave #R2, Brooklyn, NY 11215",2,1,0,0,0,"$785,000"
"1621 E 35th St, Brooklyn, NY 11234",3,2,1064,0,0,"$759,000"
"385 Atkins Ave, Brooklyn, NY 11208",5,3,0,0,0,"$749,000"
"395 Smith St APT 1B, Brooklyn, NY 11231",0,2,1077,0,0,"$750,000"
"1965 Kimball St, Brooklyn, NY 11234",3,2,1192,0,0,"$785,000"
"49 Seba Ave, Brooklyn, NY 11229",4,2,1780,0,0,"$799,000"
"219 Vernon Ave, Brooklyn, NY 11206",5,3,3000,0,0,"$799,000"
"2464 Bragg St, Brooklyn, NY 11235",5,3,2160,0,0,"$769,000"
"2684 E 63rd St, Brooklyn, NY 11234",4,3,2600,0,0,"$798,000"
"2406 E 71st St, Brooklyn, NY 11234",4,4,2172,0,0,"$789,000"
"105 15th St APT 2B, Brooklyn, NY 11215",2,2,816,0,0,"$799,000"
"5 Folsom Pl, Brooklyn, NY 11208",4,2,1120,0,0,"$749,000"
"1733 E 37th St, Brooklyn, NY 11234",3,2,1050,0,0,"$739,000"
"253 Montauk Ave #A, Brooklyn, NY 11208",6,5,0,0,0,"$799,000"
"5313 Avenue H, Brooklyn, NY 11234",4,3,2400,0,0,"$778,000"
"2126 Batchelder St, Brooklyn, NY 11229",2,2,1044,0,0,"$720,000"
"1209 8th Ave APT 4L, Brooklyn, NY 11215",2,1,0,0,0,"$795,000"
"2264 W 7th St, Brooklyn, NY 11223",3,2,952,0,0,"$789,000"
"2161 E 26th St, Brooklyn, NY 11229",2,2,1365,0,0,"$769,900"
"1144 E 101st St, Brooklyn, NY 11236",5,2,1800,0,0,"$799,000"
"1623 Coleman St, Brooklyn, NY 11234",3,3,1290,0,0,"$750,000"
"9705 Barwell Ter, Brooklyn, NY 11209",3,1,1470,0,0,"$749,000"
"312 Bay 13 St, Brooklyn, NY 11214",2,2,928,0,0,"$758,000"
"135 Garfield Pl APT 4F, Brooklyn, NY 11215",1,1,0,0,0,"$745,000"
"1458 E 51st St, Brooklyn, NY 11234",4,2,1964,0,0,"$750,000"
"988 E 38th St, Brooklyn, NY 11210",4,4,1328,0,0,"$799,000"
"328 Clinton Ave APT 4, Brooklyn, NY 11205",2,1,0,0,0,"$799,000"
"1924 Kimball St, Brooklyn, NY 11234",3,3,2500,0,0,"$720,000"
"650 88th St, Brooklyn, NY 11228",2,2,844,0,0,"$758,000"
"1335 Saint Marks Ave, Brooklyn, NY 11233",4,2,2300,0,0,"$774,999"
"9221 Foster Ave, Brooklyn, NY 11236",7,3,1880,0,0,"$769,900"
"1059 E 39th St, Brooklyn, NY 11210",3,4,2140,0,0,"$799,000"
"499 Quincy St #2, Brooklyn, NY 11221",2,2,935,0,0,"$750,000"
"1980 W 5th St, Brooklyn, NY 11223",4,2,1656,0,0,"$768,000"
"104 24th St #K, Brooklyn, NY 11232",4,2,0,0,0,"$729,000"
