Address,Beds,Baths,Area,Construction,Parking,Price
"1182 Jackson Ave, Bronx, NY 10456",11,4,4224,0,0,"$950,000"
"2551 Hering Ave, Bronx, NY 10469",8,3,2860,0,0,"$950,000"
"6056 Netherland Ave, Bronx, NY 10471",2,2,1750,0,0,"$995,000"
"1223 E 224th St, Bronx, NY 10466",9,6,3316,0,0,"$950,000"
"4046 De Reimer Ave, Bronx, NY 10466",6,6,2760,0,0,"$975,000"
"826 E 214th St, Bronx, NY 10467",7,5,3792,0,0,"$999,000"
"2040 Yates Ave, Bronx, NY 10461",4,2,2158,0,0,"$979,000"
"2861 Coddington Ave, Bronx, NY 10461",4,3,2585,0,0,"$949,000"
"4256 Digney Ave, Bronx, NY 10466",8,3,2875,0,0,"$949,000"
"1285 Neill Ave, Bronx, NY 10461",4,2,2452,0,0,"$989,000"
"1820 Seward Ave, Bronx, NY 10473",8,3,3700,0,0,"$949,000"
"1734 Barnes Ave, Bronx, NY 10462",8,3,3200,0,0,"$909,000"
"671 E 213th St, Bronx, NY 10467",3,1,2745,0,0,"$929,000"
"5837 Liebig Ave, Bronx, NY 10471",3,3,1200,0,0,"$936,000"
"3027 Netherland Ave, Bronx, NY 10463",5,2,1800,0,0,"$999,000"
"434 E 143rd St, Bronx, NY 10454",4,3,2400,0,0,"$999,000"
"218 E 179th St, Bronx, NY 10457",9,4,4158,0,0,"$975,000"
"2707 Netherland Ave, Bronx, NY 10463",4,4,2100,0,0,"$998,900"
"1366 Balcom Ave, Bronx, NY 10461",9,4,3550,0,0,"$950,000"
"1443 Beach Ave, Bronx, NY 10460",9,4,2580,0,0,"$985,000"
"2014 Continental Ave, Bronx, NY 10461",7,3,2000,0,0,"$980,000"
"173 W 161st St, Bronx, NY 10452",7,4,3930,0,0,"$935,000"
"6203A Spencer Ter, Bronx, NY 10471",4,4,2214,0,0,"$949,000"
"4135 De Reimer Ave #B, Bronx, NY 10466",6,7,3350,0,0,"$989,999"
"4156 Gunther Ave FLOOR 2, Bronx, NY 10466",6,3,3824,0,0,"$929,000"
"847 Jennings St, Bronx, NY 10459",7,5,3075,0,0,"$969,000"
"1887 Billingsley Ter, Bronx, NY 10453",9,3,3955,0,0,"$970,000"
"4135 De Reimer Ave #A, Bronx, NY 10466",6,7,3350,0,0,"$999,999"
"3158 Rawlins Ave, Bronx, NY 10465",4,3,1802,0,0,"$979,000"
"4156 Gunther Ave, Bronx, NY 10466",6,3,2896,0,0,"$929,000"
"3017 Eastchester Rd, Bronx, NY 10469",9,4,3300,0,0,"$975,000"
"2320 Demeyer St, Bronx, NY 10469",7,4,3507,0,0,"$999,000"
"6134 Delafield Ave, Bronx, NY 10471",4,4,2174,0,0,"$929,000"
"97 Hollywood Ave, Bronx, NY 10465",5,3,2968,0,0,"$950,000"
"3014 Bronxwood Ave #B, Bronx, NY 10469",7,3,0,0,0,"$950,000"
"1020 Throgs Neck Expy, Bronx, NY 10465",4,4,3480,0,0,"$950,000"
"1299 Fteley Ave, Bronx, NY 10472",9,5,3050,0,0,"$949,000"
"1466 Burke Ave, Bronx, NY 10469",5,3,2102,0,0,"$930,000"
"270 Hosmer Ave, Bronx, NY 10465",5,4,3456,0,0,"$950,000"
"257 Hosmer Ave, Bronx, NY 10465",5,4,3450,0,0,"$975,000"
