Address,Beds,Baths,Area,Construction,Parking,Price
"10 Mickardan Ct, Staten Island, NY 10304",3,3,1386,0,0,"$399,000"
"175 Zoe St #10, Staten Island, NY 10305",1,1,705,0,0,"$355,000"
"27 Winding Woods Loop, Staten Island, NY 10307",2,1,1314,0,0,"$399,998"
"78 Prospect Ave, Staten Island, NY 10301",3,2,1240,0,0,"$399,000"
"59 Stack Dr #A, Staten Island, NY 10312",2,1,860,0,0,"$349,999"
"187 Aspen Knolls Way, Staten Island, NY 10312",2,2,1524,0,0,"$389,000"
"50 Belair Rd APT 2J, Staten Island, NY 10305",2,1,971,0,0,"$329,999"
"110 Faber St, Staten Island, NY 10302",3,2,832,0,0,"$389,000"
"68 Windom Ave, Staten Island, NY 10305",2,1,660,0,0,"$389,900"
"4 Stone Ln, Staten Island, NY 10314",2,2,1293,0,0,"$389,000"
"369 Hamden Ave, Staten Island, NY 10306",1,1,430,0,0,"$300,000"
"339 Union Ave #31, Staten Island, NY 10303",3,3,1677,0,0,"$325,000"
"11B Yafa Ct #B, Staten Island, NY 10314",2,1,1480,0,0,"$399,999"
