Address,Beds,Baths,Area,Construction,Parking,Price
"10727 155th St, Jamaica, NY 11433",6,3,3120,0,0,"$300,000"
"21-57 33rd St APT 4B, Astoria, NY 11105",2,1,0,0,0,"$265,000"
"146-15 123rd Ave, Jamaica, NY 11436",4,2,2688,0,0,"$275,000"
"131-16 115th Ave, South Ozone Park, NY 11420",3,2,0,0,0,"$235,000"
"247-41 77th Cres #F-2, Bellerose, NY 11426",1,1,0,0,0,"$289,000"
"64-74 Saunders St #5C, Rego Park, NY 11374",1,1,550,0,0,"$230,000"
"84-20 51st Ave APT 4M, Elmhurst, NY 11373",0,1,460,0,0,"$225,000"
"57-02 244th St #E2, Little Neck, NY 11362",1,1,0,0,0,"$248,000"
"29-49 137th St APT 6, Flushing, NY 11354",1,1,800,0,0,"$238,000"
"1021 162nd St APT 5D, Flushing, NY 11357",1,1,0,0,0,"$299,999"
"62-64 Saunders St #2L, Flushing, NY 11374",1,1,703,0,0,"$289,000"
"64-72A 223rd Pl #A, Oakland Gardens, NY 11364",2,1,0,0,0,"$299,800"
"175-06 Devonshire Rd APT 1J, Jamaica, NY 11432",1,1,950,0,0,"$239,000"
"227-23 88th Ave #227, Queens Village, NY 11427",2,1,0,0,0,"$225,000"
"64-72 223rd Pl, Oakland Gardens, NY 11364",2,1,0,0,0,"$299,800"
"83-15 94th St #3M, Woodhaven, NY 11421",2,1,0,0,0,"$289,000"
"83-15 98th St APT 3M, Woodhaven, NY 11421",2,1,0,0,0,"$289,000"
"141-10 25th Rd #3A, Flushing, NY 11354",1,1,750,0,0,"$238,000"
"22712 108th Ave, Jamaica, NY 11429",2,1,1209,0,0,"$290,000"
"102-30 66th Rd #8G, Forest Hills, NY 11375",1,1,0,0,0,"$279,000"
"21-16 35th St APT 1B, Astoria, NY 11105",1,1,0,0,0,"$230,000"
"160-11 17th Ave FLOOR 1, Whitestone, NY 11357",2,1,0,0,0,"$279,800"
"118-18 Union Tpke APT 14B, Kew Gardens, NY 11415",2,1,950,0,0,"$269,000"
"13181 Francis Lewis Blvd, Laurelton, NY 11413",3,1,1479,0,0,"$299,000"
"252-07 63rd Ave #1068, Little Neck, NY 11362",1,1,0,0,0,"$299,999"
"35-21 79th St #3L, Jackson Heights, NY 11372",0,1,400,0,0,"$227,500"
"36-16 213th St APT 1A, Bayside, NY 11361",1,1,650,0,0,"$245,000"
"100-11 67th Rd #123, Forest Hills, NY 11375",2,1,0,0,0,"$250,000"
"87-14 57th Rd #PD, Elmhurst, NY 11373",1,1,0,0,0,"$239,000"
"144-60 Gravett Rd APT 1F, Flushing, NY 11367",2,1,0,0,0,"$229,000"
"26-25 141st St #6-D, Flushing, NY 11354",2,1,950,0,0,"$298,000"
"219 Beach 44 St, Far Rockaway, NY 11691",5,2,0,0,0,"$299,000"
"9710 62nd Dr APT 3L, Rego Park, NY 11374",1,1,700,0,0,"$285,000"
"252-36 58th Ave #1, Little Neck, NY 11362",3,1,0,0,0,"$278,000"
"21-27 33rd St APT 5G, Astoria, NY 11105",2,1,0,0,0,"$299,000"
"339 Beach 43rd St, Far Rockaway, NY 11691",2,2,0,0,0,"$290,000"
"125-05 84th Ave #E6, Kew Gardens, NY 11415",1,1,725,0,0,"$219,900"
"14010 116th Ave, Jamaica, NY 11436",2,1,551,0,0,"$295,000"
