Address,Beds,Baths,Area,Construction,Parking,Price
"1230 Boston Rd APT 29, Bronx, NY 10456",3,1,0,0,0,"$100,000"
"1383 Plimpton Ave APT 2-D, Bronx, NY 10452",2,1,1000,0,0,"$120,000"
"2040 Haviland Ave, Bronx, NY 10472",3,1,0,0,0,"$200,000"
"1383 Plimpton Ave #3A, Bronx, NY 10452",1,1,650,0,0,"$110,000"
"3235 Cambridge Ave APT 4K, Bronx, NY 10463",1,1,750,0,0,"$199,000"
"1001 Anderson Ave APT 12, Bronx, NY 10452",1,1,0,0,0,"$200,000"
"398 Oliver Pl APT 4E, Bronx, NY 10458",1,1,782,0,0,"$150,000"
"1177 Anderson Ave APT 6B, Bronx, NY 10452",1,1,0,0,0,"$159,999"
"1025 Leggett Ave APT 5DE, Bronx, NY 10455",4,2,1400,0,0,"$199,999"
"3176 Decatur Ave APT 2E, Bronx, NY 10467",2,1,900,0,0,"$185,000"
"374 E 173rd St, Bronx, NY 10457",0,0,0,0,0,"$170,000"
"190 E Mosholu Pkwy S APT 5D, Bronx, NY 10458",2,1,0,0,0,"$185,000"
"1898 Longfellow Ave #D2, Bronx, NY 10460",2,1,700,0,0,"$125,000"
"854 Intervale Ave #12, Bronx, NY 10459",3,1,973,0,0,"$167,000"
"935 E 178th St, Bronx, NY 10460",2,1,990,0,0,"$160,000"
"1045 Anderson Ave #2D, Bronx, NY 10452",1,1,0,0,0,"$175,000"
"1480 Thieriot Ave APT 5M, Bronx, NY 10460",2,1,900,0,0,"$185,000"
"2186 Cruger Ave APT LG, Bronx, NY 10462",1,1,500,0,0,"$100,000"
"5650 Netherland Ave APT 3B, Bronx, NY 10471",1,1,775,0,0,"$140,000"
"6200 Riverdale Ave #4K, Bronx, NY 10471",1,1,750,0,0,"$180,000"
"191 Terrace St, Bronx, NY 10464",1,1,448,0,0,"$120,000"
"2925 Matthews Ave APT 4D, Bronx, NY 10467",2,1,1100,0,0,"$120,000"
"2316 Beaumont Ave APT 1A, Bronx, NY 10458",1,1,906,0,0,"$149,900"
"1275 Grant Ave APT 5E, Bronx, NY 10456",1,1,630,0,0,"$100,000"
"1506 Overing St #2A, Bronx, NY 10461",1,1,700,0,0,"$139,000"
"3210 Arlington Ave APT 3A, Bronx, NY 10463",2,1,800,0,0,"$199,000"
"1045 Anderson Ave APT 4E, Bronx, NY 10452",1,1,0,0,0,"$185,000"
"2244 Bronx Park E APT 5L, Bronx, NY 10467",0,1,535,0,0,"$129,900"
"2187 Holland Ave APT 4H, Bronx, NY 10462",1,1,780,0,0,"$109,900"
"2323 Loring Pl #8, Bronx, NY 10468",2,1,657,0,0,"$199,999"
"941 Jerome Ave APT 3B, Bronx, NY 10452",1,1,650,0,0,"$145,000"
"1015 Summit Ave APT 2D, Bronx, NY 10452",1,1,700,0,0,"$169,000"
"1966 Newbold Ave APT 902, Bronx, NY 10472",2,1,925,0,0,"$170,000"
"2023 Belmont Ave APT 5D, Bronx, NY 10457",2,1,1000,0,0,"$175,000"
"85 Edgewater Park #C, Bronx, NY 10465",3,1,703,0,0,"$155,000"
"1922 McGraw Ave #4A, Bronx, NY 10462",1,1,0,0,0,"$155,000"
"3201 Grand Concourse APT 5D, Bronx, NY 10468",2,1,825,0,0,"$199,900"
"3725 Henry Hudson Pkwy W #12F, Bronx, NY 10463",0,1,0,0,0,"$120,000"
"3231 Barker Ave APT 1C, Bronx, NY 10467",1,1,800,0,0,"$118,000"
"3531 Bronxwood Ave APT STB, Bronx, NY 10469",2,1,1010,0,0,"$190,000"
