Address,Beds,Baths,Area,Construction,Parking,Price
"1520 Bedford Ave APT 4A, Brooklyn, NY 11216",2,2,1025,0,0,"$699,000"
"13 Nova Ct, Brooklyn, NY 11229",4,3,1500,0,0,"$699,000"
"3817 Avenue M, Brooklyn, NY 11234",3,3,1600,0,0,"$699,000"
"353 Vernon Ave, Brooklyn, NY 11206",4,4,2961,0,0,"$649,999"
"685 E 38th St, Brooklyn, NY 11210",3,2,1672,0,0,"$649,000"
"185 Clinton Ave APT 3G, Brooklyn, NY 11205",2,1,800,0,0,"$699,000"
"1728 E 38th St, Brooklyn, NY 11234",3,1,952,0,0,"$639,000"
"754 Vermont St, Brooklyn, NY 11207",3,2,1500,0,0,"$629,000"
"289 Kosciuszko St #2, Brooklyn, NY 11221",1,1,799,0,0,"$649,000"
"118 Schenectady Ave APT 409, Brooklyn, NY 11213",3,2,1071,0,0,"$649,000"
"1818 E 51st St, Brooklyn, NY 11234",3,2,2200,0,0,"$699,000"
"647 Midwood St #A3, Brooklyn, NY 11203",3,2,0,0,0,"$689,000"
"1367 Dumont Ave, Brooklyn, NY 11208",4,2,0,0,0,"$600,000"
"70 Hendrix St, Brooklyn, NY 11207",5,3,1920,0,0,"$699,000"
"575 E 55th St, Brooklyn, NY 11203",2,2,2000,0,0,"$679,000"
"170 72nd St #527/528, Brooklyn, NY 11209",4,2,1500,0,0,"$650,000"
"915 President St APT 5F, Brooklyn, NY 11215",1,1,620,0,0,"$649,000"
"9007 Avenue L, Brooklyn, NY 11236",3,2,1680,0,0,"$638,000"
"9971 Shore Rd APT 9B, Brooklyn, NY 11209",2,2,1070,0,0,"$695,000"
"75 Dooley St, Brooklyn, NY 11235",3,1,1032,0,0,"$649,999"
"970 41st St APT 6I, Brooklyn, NY 11219",2,1,815,0,0,"$638,000"
"1570 Prospect Pl APT 3, Brooklyn, NY 11233",2,2,873,0,0,"$699,000"
"154 S 8th St APT 1, Brooklyn, NY 11211",2,2,820,0,0,"$650,000"
"3418 Fillmore Ave, Brooklyn, NY 11234",3,2,1036,0,0,"$639,000"
"2877 W 35th St, Brooklyn, NY 11224",3,2,1445,0,0,"$650,000"
"505 E 40th St, Brooklyn, NY 11203",3,2,1280,0,0,"$649,000"
"1364 E 56th St, Brooklyn, NY 11234",2,2,1260,0,0,"$699,000"
"1554 Marine Pkwy, Brooklyn, NY 11234",3,3,1152,0,0,"$649,000"
"1379 E 93rd St, Brooklyn, NY 11236",4,3,1619,0,0,"$699,000"
"13 Webers Ct, Brooklyn, NY 11235",3,3,1640,0,0,"$684,900"
"4809 Foster Ave, Brooklyn, NY 11203",3,3,2000,0,0,"$649,000"
"724 E 49th St, Brooklyn, NY 11203",3,2,1440,0,0,"$689,000"
"311 Barbey St, Brooklyn, NY 11207",4,3,0,0,0,"$689,000"
"433 Christopher Ave, Brooklyn, NY 11212",3,2,1116,0,0,"$699,000"
"2875 W 32nd St, Brooklyn, NY 11224",3,1,1200,0,0,"$625,000"
"6717 21st Ave APT 2A, Brooklyn, NY 11204",3,2,1107,0,0,"$675,000"
"4015 Avenue I, Brooklyn, NY 11210",3,2,1332,0,0,"$619,000"
"1023 E 94th St, Brooklyn, NY 11236",5,3,1170,0,0,"$679,000"
"2355 Knapp St, Brooklyn, NY 11229",3,2,1008,0,0,"$649,000"
"1404 E 104th St, Brooklyn, NY 11236",3,1,1584,0,0,"$650,000"
