Address,Beds,Baths,Area,Construction,Parking,Price
"47A McDivitt Ave, Staten Island, NY 10314",3,2,1233,0,0,"$489,000"
"174 Myrtle Ave, Staten Island, NY 10310",4,2,1400,0,0,"$499,888"
"1041 Rockland Ave #A, Staten Island, NY 10314",3,2,1233,0,0,"$495,000"
"11 Vincent Ave, Staten Island, NY 10306",2,1,864,0,0,"$489,900"
"31 Coventry Loop, Staten Island, NY 10312",3,3,1584,0,0,"$429,000"
"43 Paris Ct, Staten Island, NY 10310",3,3,1260,0,0,"$475,000"
"49 Laforge Ave, Staten Island, NY 10302",2,2,1070,0,0,"$485,000"
"157-159 Greeley Ave, Staten Island, NY 10306",8,4,2072,0,0,"$459,000"
"145 Clinton Pl, Staten Island, NY 10302",3,1,1216,0,0,"$410,000"
"454 Caswell Ave #2, Staten Island, NY 10314",3,2,1525,0,0,"$499,000"
"242 Ashworth Ave #A, Staten Island, NY 10314",3,2,1233,0,0,"$449,900"
"47A McDivitt Ave #1, Staten Island, NY 10314",3,2,1233,0,0,"$489,000"
"30 Hill St, Staten Island, NY 10304",3,3,1400,0,0,"$448,000"
"25 Susan Ct, Staten Island, NY 10304",3,2,1200,0,0,"$460,000"
"9 Dix Pl, Staten Island, NY 10304",3,2,1504,0,0,"$499,000"
"30 Chesebrough St, Staten Island, NY 10312",2,2,2176,0,0,"$469,000"
"1235 Forest Hill Rd #1B, Staten Island, NY 10314",2,2,886,0,0,"$460,000"
"503 Willow Rd E, Staten Island, NY 10314",3,2,1500,0,0,"$469,000"
"11 Quinn St, Staten Island, NY 10304",3,2,916,0,0,"$460,000"
"21 Bell St, Staten Island, NY 10305",3,1,560,0,0,"$499,000"
"17 Nicholas Ave, Staten Island, NY 10302",3,3,1400,0,0,"$479,900"
"30 Emily Ln, Staten Island, NY 10312",2,3,1354,0,0,"$414,900"
"460 Caswell Ave #2, Staten Island, NY 10314",3,2,1525,0,0,"$475,000"
"107 Park Hill Cir, Staten Island, NY 10304",3,2,1134,0,0,"$465,000"
"79 Cortlandt St, Staten Island, NY 10302",3,1,2062,0,0,"$425,000"
"14 Alcott St, Staten Island, NY 10312",3,2,1152,0,0,"$458,000"
"39 Lynn Ct, Staten Island, NY 10314",3,2,1097,0,0,"$445,000"
"237 Jamie Ln, Staten Island, NY 10312",3,4,1354,0,0,"$459,900"
