Address,Beds,Baths,Area,Construction,Parking,Price
"974 E 43rd St, Brooklyn, NY 11210",4,2,1600,0,0,"$550,000"
"1981 Rockaway Pkwy, Brooklyn, NY 11236",3,2,720,0,0,"$549,000"
"19 Grace Ct APT 5D, Brooklyn, NY 11201",1,1,0,0,0,"$599,000"
"99 Kingsland Ave APT 203, Brooklyn, NY 11222",1,1,600,0,0,"$525,000"
"2881 Nostrand Ave #C1, Brooklyn, NY 11229",2,2,1037,0,0,"$599,000"
"1367 Dumont Ave, Brooklyn, NY 11208",4,2,0,0,0,"$600,000"
"101 12th Ave #K-08247-00, Brooklyn, NY 11218",3,2,1612,0,0,"$599,000"
"255 Linwood St, Brooklyn, NY 11208",4,3,1274,0,0,"$599,000"
"1328 Sterling Pl APT 3R, Brooklyn, NY 11213",2,2,806,0,0,"$515,000"
"9997 Shore Rd APT 19E, Brooklyn, NY 11209",2,2,1060,0,0,"$508,000"
"191 Berriman St, Brooklyn, NY 11208",3,2,1132,0,0,"$525,000"
"(Undisclosed Address), Brooklyn, NY 11233",5,3,0,0,0,"$500,000"
"320 E 59th St, Brooklyn, NY 11203",3,2,1120,0,0,"$595,000"
"2951 Avenue V, Brooklyn, NY 11229",3,3,1116,0,0,"$599,900"
"198 21st St APT 3A, Brooklyn, NY 11232",2,2,650,0,0,"$598,000"
"223 E 28th St, Brooklyn, NY 11226",3,2,1599,0,0,"$599,000"
"151 Joralemon St APT 18, Brooklyn, NY 11201",1,1,0,0,0,"$525,000"
"465 Eastern Pkwy #5S, Brooklyn, NY 11216",2,1,0,0,0,"$589,000"
"65 Legion St, Brooklyn, NY 11212",3,2,1116,0,0,"$529,999"
"160 Lincoln Pl APT 3B, Brooklyn, NY 11217",1,1,0,0,0,"$598,000"
"2526 Ralph Ave, Brooklyn, NY 11234",3,3,1296,0,0,"$599,000"
"655 Mother Gaston Blvd, Brooklyn, NY 11212",3,2,1800,0,0,"$549,000"
"709 Vermont St, Brooklyn, NY 11207",3,2,1254,0,0,"$535,000"
"1829 E 13th St APT 2A, Brooklyn, NY 11229",2,2,1316,0,0,"$525,000"
"403 Avenue C APT 1D, Brooklyn, NY 11218",2,2,1150,0,0,"$543,000"
"175 Columbia Hts APT 5F, Brooklyn, NY 11201",1,1,430,0,0,"$575,000"
"214 Clinton St APT 3A, Brooklyn, NY 11201",1,1,550,0,0,"$595,000"
"464 67th St #3D, Brooklyn, NY 11220",2,1,750,0,0,"$568,000"
"110 Cambridge Pl APT 3A, Brooklyn, NY 11238",3,1,903,0,0,"$600,000"
"9 Kay Ct, Brooklyn, NY 11229",4,1,1400,0,0,"$599,000"
"2742 E 12th St, Brooklyn, NY 11235",3,1,1056,0,0,"$599,000"
"1515 E 52nd St, Brooklyn, NY 11234",3,2,1002,0,0,"$539,000"
"593 E 38th St, Brooklyn, NY 11203",3,1,1200,0,0,"$595,000"
"11 Gotham Ave, Brooklyn, NY 11229",3,2,1272,0,0,"$539,000"
"897 Herkimer St #2B, Brooklyn, NY 11233",1,1,665,0,0,"$529,000"
"59 Pineapple St APT 2G, Brooklyn, NY 11201",1,1,0,0,0,"$535,000"
"420 64th St PENTHOUSE 4, Brooklyn, NY 11220",1,1,670,0,0,"$575,000"
"2513 W 17th St #3, Brooklyn, NY 11214",7,5,2695,0,0,"$550,000"
"145 Kenilworth Pl #5A, Brooklyn, NY 11210",2,2,787,0,0,"$575,000"
"1481 Prospect Pl #2, Brooklyn, NY 11213",3,1,935,0,0,"$575,000"
