Address,Beds,Baths,Area,Construction,Parking,Price
"3224 Tenbroeck Ave, Bronx, NY 10469",4,3,1800,0,0,"$650,000"
"1232 Union Ave, Bronx, NY 10459",6,4,0,0,0,"$695,000"
"2879 Sampson Ave, Bronx, NY 10465",3,2,1600,0,0,"$699,000"
"1901 Harrison Ave, Bronx, NY 10453",5,3,2329,0,0,"$699,000"
"111 E 235th St, Bronx, NY 10470",3,2,1224,0,0,"$659,000"
"2962 Lafayette Ave, Bronx, NY 10465",5,2,1120,0,0,"$675,000"
"321 E 169th St, Bronx, NY 10456",8,3,0,0,0,"$700,000"
"1963 Paulding Ave, Bronx, NY 10462",3,2,1741,0,0,"$700,000"
"61 W 184th St, Bronx, NY 10468",5,5,1920,0,0,"$679,000"
"838 Vincent Ave, Bronx, NY 10465",3,3,1500,0,0,"$675,000"
"2732 Holland Ave, Bronx, NY 10467",3,3,1500,0,0,"$629,000"
"916 Clarence Ave, Bronx, NY 10465",3,3,1492,0,0,"$679,000"
"4561 Richardson Ave, Bronx, NY 10470",3,3,1750,0,0,"$650,000"
"2894 Coddington Ave, Bronx, NY 10461",3,2,1593,0,0,"$669,000"
"3928 Monticello Ave, Bronx, NY 10466",5,2,1944,0,0,"$650,000"
"445 E 239th St, Bronx, NY 10470",3,2,1718,0,0,"$700,000"
"456 E 146th St, Bronx, NY 10455",5,3,2000,0,0,"$699,000"
"3757 Barnes Ave #B, Bronx, NY 10467",3,3,0,0,0,"$629,000"
"418 E 240th St, Bronx, NY 10470",3,2,1512,0,0,"$649,000"
"3216 Corlear Ave, Bronx, NY 10463",7,3,1880,0,0,"$600,000"
"3247 Bruner Ave, Bronx, NY 10469",5,2,2585,0,0,"$625,000"
"1544 Ohm Ave, Bronx, NY 10465",5,3,1638,0,0,"$665,000"
"3014 Bouck Ave, Bronx, NY 10469",6,2,2230,0,0,"$685,000"
"1922 Lurting Ave, Bronx, NY 10461",3,3,1360,0,0,"$639,000"
"4036 Paulding Ave, Bronx, NY 10466",3,3,1216,0,0,"$675,000"
"4435 Murdock Ave, Bronx, NY 10466",5,2,1300,0,0,"$679,000"
"1268 Evergreen Ave #2F, Bronx, NY 10472",6,3,2128,0,0,"$669,000"
"2851 Gunther Ave, Bronx, NY 10469",3,2,1800,0,0,"$649,000"
"880 Home St, Bronx, NY 10459",6,3,1344,0,0,"$640,000"
"830 E 227th St, Bronx, NY 10466",5,3,1400,0,0,"$670,000"
"1928 Hunt Ave, Bronx, NY 10462",4,3,1704,0,0,"$639,900"
"3816 Waldo Ave APT 4A, Bronx, NY 10463",3,2,1250,0,0,"$689,000"
"239 E 236th St, Bronx, NY 10470",4,3,0,0,0,"$679,000"
"2712 Harding Ave, Bronx, NY 10465",3,2,1836,0,0,"$645,000"
"983 Pierce Ave, Bronx, NY 10462",4,3,1714,0,0,"$685,000"
"1224 Mace Ave, Bronx, NY 10469",3,2,2240,0,0,"$699,000"
"3869 Laconia Ave, Bronx, NY 10469",5,2,0,0,0,"$699,000"
"1849 Bronxdale Ave, Bronx, NY 10462",6,2,2100,0,0,"$699,000"
"1936 Hunt Ave, Bronx, NY 10462",5,3,2448,0,0,"$699,999"
"924 E 221st St, Bronx, NY 10469",3,3,1974,0,0,"$625,000"
