Address,Beds,Baths,Area,Construction,Parking,Price,Latitude,Longitude
"175 W 13th St APT 5H, New York, NY 10011",0,1,385,1961,0,649000,40.7378676,-73.9998268
"75 Wall St APT 33J, New York, NY 10005",0,1,445,0,0,688000,40.7051991,-74.0076662
"59 Morningside Ave APT 1N, New York, NY 10027",4,1,1200,0,0,675000,40.8082676,-73.9559069
"148 W 23rd St APT 4C, New York, NY 10011",1,1,700,1910,0,650000,40.7434746,-73.9948654
"250 E 30th St APT 9F, New York, NY 10016",1,1,610,0,0,795000,40.7423095,-73.9781109
"363 E 76th St APT 9M, New York, NY 10021",1,1,850,1963,0,750000,40.7706063,-73.9543643
"181 E 101st St #301, New York, NY 10029",1,1,652,2021,0,795000,40.7888462,-73.9478828
"150 W 51st St APT 919, New York, NY 10019",1,1,550,1927,0,739999,40.7614359,-73.982392
"350 W 50th St APT 2II, New York, NY 10019",0,1,597,1988,0,725000,40.7627443,-73.9878936
"30 W 90th St APT 9C, New York, NY 10024",1,1,580,0,0,750000,40.7882952,-73.9690499
"111 4th Ave APT 8K, New York, NY 10003",0,1,500,0,0,750000,40.7323782,-73.9897476
"250 S End Ave APT 2D, New York, NY 10280",1,1,782,0,0,719000,40.7096469,-74.0162504
"20 E 35th St APT 5E, New York, NY 10016",1,1,804,0,0,799990,40.7482362,-73.9822653
"40 W 67th St APT 1D, New York, NY 10023",1,1,650,1930,0,785000,40.7734301,-73.9797914
"142 Edgecombe Ave #2A, New York, NY 10030",2,1,740,0,0,700000,40.820876,-73.945155
"78 W 85th St APT 6B, New York, NY 10024",1,1,640,1920,0,775000,40.7856318,-73.9725246
"142 W 82nd St APT 3, New York, NY 10024",1,2,650,1900,0,750000,40.7844002,-73.975747
"552 Riverside Dr APT 2D, New York, NY 10027",2,1,750,1910,0,800000,40.8163353,-73.9603157
"710 W End Ave #15F, New York, NY 10025",1,1,736,0,0,750000,40.7942164,-73.9735937
"127 W 112th St #2A, New York, NY 10026",1,1,702,2021,0,750000,40.79995,-73.952499
"334 W 85th St APT 1A, New York, NY 10024",3,1,908,0,0,775000,40.7885527,-73.9797996
"400 W 58th St APT 4E, New York, NY 10019",1,1,750,1957,0,759000,40.7686274,-73.9855734
"504 Grand St APT D45, New York, NY 10002",1,1,825,1929,0,729000,40.7146288,-73.9818172
"350 E 30th St APT 6M, New York, NY 10016",2,1,767,1956,0,795000,40.7413178,-73.9757407
"104 W 70th St APT 5E, New York, NY 10023",0,1,424,0,0,750000,40.7761529,-73.9801249
"11 Hancock Pl #804, New York, NY 10027",0,1,524,2021,0,749500,40.8107988,-73.9534353
"350 Albany St APT 14E, New York, NY 10280",1,1,642,1986,0,725000,40.7101576,-74.0170294
"621 E 6th St APT 6, New York, NY 10009",1,1,550,0,0,700000,40.7241509,-73.9803914
"300 W 122nd St #7M, New York, NY 10027",1,1,638,2020,0,785000,40.808384,-73.953147
"77 W 55th St #C7, New York, NY 10019",1,1,600,0,0,830000,40.7629803,-73.9777616
"201 E 37th St APT 6D, New York, NY 10016",2,1,900,0,0,849995,40.7476262,-73.976469
"150 W End Ave APT 25H, New York, NY 10023",1,1,850,0,0,825000,40.776586,-73.9859919
"111 Fulton St APT 417, New York, NY 10038",0,1,725,1940,0,850000,40.709902,-74.0068431
"530 Grand St APT F3A, Manhattan, NY 10002",2,1,1000,1949,0,899000,40.714461,-73.98165
"196 Orchard St #5NN, New York, NY 10002",1,1,650,2018,0,850000,40.721668,-73.988358
"552 Riverside Dr APT 2D, New York, NY 10027",2,1,750,0,0,800000,40.8163353,-73.9603157
"360 E 88th St APT 6C, New York, NY 10128",1,2,730,1988,0,895000,40.7782758,-73.9490193
"181 E 101st St #603, New York, NY 10029",1,1,726,0,0,895700,40.7888462,-73.9478828
"181 E 101st St #207, New York, NY 10029",2,2,701,0,0,850000,40.7888462,-73.9478828
"200 Rector Pl APT 28G, New York, NY 10280",1,1,638,0,0,845000,40.7084895,-74.0165122
"201 E 36th St APT 11D, New York, NY 10016",1,1,904,0,0,875000,40.7469712,-73.9768308
"165 Lexington Ave #2B, New York, NY 10016",0,1,432,0,0,800000,40.744,-73.981409
"310 E 70th St APT 6A, New York, NY 10021",1,1,950,0,0,899000,40.7670514,-73.9587863
"43 E 10th St APT 6A, New York, NY 10003",0,1,500,1900,0,865000,40.7323523,-73.9923858
"250 E 40th St APT 23A, New York, NY 10016",1,1,707,0,0,825000,40.7485521,-73.9735528
"80 Park Ave APT 11K, New York, NY 10016",1,1,910,1956,0,884000,40.7501705,-73.9793987
"40 Pinehurst Ave #3A, New York, NY 10033",2,2,22901,2018,0,900000,40.849939,-73.939863
"540 W 49th St APT 507N, New York, NY 10019",0,1,507,2015,0,825000,40.7646095,-73.9937807
"370 Convent Ave #4A, New York, NY 10031",2,1,921,1920,0,800000,40.825071,-73.946075
"110 W 86th St APT 3E, New York, NY 10024",1,1,750,1929,0,825000,40.7864711,-73.972707
"90 William St APT 14D, New York, NY 10038",1,1,849,1967,0,898000,40.708198,-74.0076571
"350 W 42nd St APT 4L, New York, NY 10036",0,1,711,0,0,869000,40.7578472,-73.9922301
"17 Convent Ave #3A, New York, NY 10027",1,1,739,2019,0,850000,40.813404,-73.953041
"159 W 53rd St APT 24F, New York, NY 10019",1,1,739,1968,0,875000,40.7627986,-73.9812172
"1165 5th Ave #1C, New York, NY 10029",2,2,1100,1926,0,895000,40.783246,-73.944723
"136 E 36th St APT 1G, New York, NY 10016",3,2,1262,1924,0,995000,40.7475049,-73.9786191
"243 E 77th St APT 4B, New York, NY 10075",2,2,830,0,0,995000,40.77253,-73.9566393
"245 E 72nd St OFFICE 1C, New York, NY 10021",2,2,1082,0,0,995000,40.7692526,-73.9587713
"304 E 65th St APT 31D, New York, NY 10065",1,1,703,0,0,999000,40.7640879,-73.9615448
"77 Fulton St APT 13K, New York, NY 10038",2,1,855,0,0,920000,40.7090349,-74.0046918
"250 E 49th St #19A, New York, NY 10017",1,1,647,2008,0,949000,40.754646,-73.970387
"15 W 53rd St #15H, New York, NY 10019",1,1,743,0,0,995000,40.7613535,-73.9773592
"303 Greenwich St #3A, New York, NY 10013",1,1,730,1987,1,985000,40.716303,-74.010967
"308 W 30th St APT 9B, New York, NY 10001",2,1,731,0,0,975000,40.74979,-73.996115
"345 E 80th St APT 25J, New York, NY 10075",1,1,733,1973,0,949000,40.7734385,-73.9523724
"40 Pinehurst Ave #3A, New York, NY 10033",2,2,22901,0,0,900000,40.849939,-73.939863
"453 W 19th St APT 6B, New York, NY 10011",1,1,700,0,0,950000,40.7450552,-74.0051061
"345 E 81st St APT 14M, New York, NY 10028",1,1,900,1963,0,975000,40.773874,-73.9519776
"500 Grand St #C9A, New York, NY 10002",2,1,1000,1949,0,989000,40.714835,-73.983
