Address,Beds,Baths,Area,Construction,Parking,Latitude,Longitude,cluster_label
"25 Tudor City Pl APT 1207, New York, NY 10017",0,1,300,0,0,40.7486361,-73.9705046,12
"90 Park Ter E APT 3B, New York, NY 10034",0,1,425,0,0,40.8709051,-73.915555,11
"2090 Madison Ave APT 5-C, New York, NY 10037",2,1,0,0,0,40.8099701,-73.9378649,0
"319 E 50th St APT 8F, New York, NY 10022",0,1,0,0,0,40.7546097,-73.9676331,3
"110 E 36th St APT 4B, New York, NY 10016",0,1,0,0,0,40.7479223,-73.9798979,12
"245 E 24th St APT 2H, New York, NY 10010",0,1,0,0,0,40.7387426,-73.9806516,12
"301 E 22nd St APT 14G, New York, NY 10010",0,1,0,0,0,40.7371047,-73.9807935,12
"5 Tudor City Pl APT 317, New York, NY 10017",0,1,275,0,0,40.7480424,-73.9710037,12
"214 Bradhurst Ave APT 14, New York, NY 10039",1,1,490,0,0,40.8277778,-73.9393006,0
"153 E 57th St APT 5E, New York, NY 10022",0,1,500,0,0,40.7606525,-73.9680205,3
"535 W 163rd St #6, New York, NY 10032",2,1,0,0,0,40.8374393,-73.9408468,0
"433 W 34th St APT 3F, New York, NY 10001",0,1,250,0,0,40.7542846,-73.9977693,12
"99 Avenue B APT 5D, New York, NY 10009",0,1,0,0,0,40.7246516,-73.9813759,12
"225 E 4th St #11, New York, NY 10009",1,1,0,0,0,40.7237269,-73.9830814,12
"345 E 69th St APT 5D, New York, NY 10021",0,1,0,0,0,40.7660752,-73.9576325,3
"405 E 63rd St APT 9B, New York, NY 10065",0,1,0,0,0,40.7619996,-73.9593783,3
"319 W 18th St APT 5G, New York, NY 10011",0,1,0,0,0,40.7428687,-74.0016459,12
"12 E 132nd St APT 4A, New York, NY 10037",3,2,0,0,0,40.8102642,-73.9383153,0
"655 Riverside Drive #1A, New York, NY 10031",2,1,1000,0,0,40.8255876,-73.9530237,0
"870 W 181st St #A2, New York, NY 10033",1,1,0,0,0,40.851397,-73.941284,0
"418 E 83rd St PENTHOUSE D, New York, NY 10028",0,1,0,0,0,40.7743038,-73.9498382,3
"25 Tudor City Pl APT 2001, New York, NY 10017",0,1,0,0,0,40.7486361,-73.9705046,12
"222 E 35th St APT 5D, New York, NY 10016",0,1,0,0,0,40.7457679,-73.9766886,12
"203 W 87th St APT 44, New York, NY 10024",0,1,0,0,0,40.7888181,-73.9749997,3
"258 W 117th St #33W, New York, NY 10026",1,1,0,0,0,40.8043455,-73.953697,0
"310 E 49th St APT 8J, New York, NY 10017",0,1,0,0,0,40.7537753,-73.9683422,3
"50 E 8th St APT 3R, New York, NY 10003",0,1,0,0,0,40.7310566,-73.9937876,12
"349 E 49th St APT 2V, New York, NY 10017",0,1,0,0,0,40.6476277,-74.0128126,7
"303 E 37th St APT 2G, New York, NY 10016",0,1,550,0,0,40.7467468,-73.9739787,12
"519 E 87th St APT 4C, New York, NY 10128",1,1,0,0,0,40.7762847,-73.9453668,3
"140 W 69th St #5A, New York, NY 10023",0,1,0,0,0,40.776183,-73.981309,3
"330 E 83rd St APT 2G, New York, NY 10028",0,1,0,0,0,40.7751388,-73.9517763,3
"166 E 35th St APT 3A, New York, NY 10016",0,1,0,0,0,40.7464414,-73.9780127,12
"512 E 83rd St APT 2B, New York, NY 10028",0,1,400,0,0,40.7734493,-73.9478595,3
"339 E 58th St APT 5B, New York, NY 10022",0,1,450,0,0,40.7595139,-73.9631477,3
"210 E 36th St APT 3D, New York, NY 10016",0,1,0,0,0,40.746539,-73.9766511,12
"95 Park Ter E APT 4E, New York, NY 10034",1,1,0,0,0,40.871296,-73.9157763,11
"3692 Broadway APT 62, New York, NY 10031",2,1,0,0,0,40.8310513,-73.9466322,0
"200 E End Ave APT 1K, New York, NY 10128",0,1,0,0,0,40.777016,-73.943393,3
"457 W 57th St #1116, New York, NY 10019",0,1,400,0,0,40.7689702,-73.9875509,3
"330 E 94th St APT 4B, New York, NY 10128",1,1,475,0,0,40.7821367,-73.9466175,3
"235 W 102nd St APT 3U, New York, NY 10025",0,1,0,0,0,40.7987533,-73.9694136,3
"160 W End Ave APT 8G, New York, NY 10023",0,1,0,0,0,40.7761323,-73.9849173,3
"61 E 77th St APT 8E, New York, NY 10075",0,1,0,0,0,40.7748742,-73.9622063,3
"515 Edgecombe Ave APT 43, New York, NY 10032",1,1,550,0,0,40.8325571,-73.9399183,0
"150 Central Park S #1108, New York, NY 10019",0,1,484,0,0,40.766222,-73.977368,3
"304 W 10th St APT 2-A, New York, NY 10014",0,1,0,0,0,40.7331512,-74.009634,12
"335 E 51st St APT 9G, New York, NY 10022",0,1,430,0,0,40.7550827,-73.9665627,3
"308 E 73rd St APT 3B, New York, NY 10021",1,1,0,0,0,40.7690528,-73.9573242,3
"102 W 80th St APT 85, New York, NY 10024",0,1,380,0,0,40.7826431,-73.9755719,3
"110 E 57th St APT 6B, New York, NY 10022",0,1,0,0,0,40.7610677,-73.9702354,3
"240 E 35th St APT 1J, New York, NY 10016",1,1,0,0,0,40.7455479,-73.9761845,12
"461 W 44th St APT 6B, New York, NY 10036",0,1,400,0,0,40.7609225,-73.9941209,12
"136 E 56th St APT 7K, New York, NY 10022",0,1,0,0,0,40.7606018,-73.9704518,3
"127 W 112th St #1B, New York, NY 10026",0,1,472,0,0,40.79995,-73.952499,3
"235 E 40th St APT 21I, New York, NY 10016",0,1,405,0,0,40.6538871,-74.0095879,7
"566 W 159th St APT 41, New York, NY 10032",2,1,900,0,0,40.8348017,-73.9433023,0
"3 Hanover Sq APT 4A, New York, NY 10004",0,1,575,0,0,40.7050665,-74.0098062,12
"360 Riverside Dr APT 2D, New York, NY 10025",1,1,500,0,0,40.8023752,-73.9702115,3
"7 Park Ave APT 11F, New York, NY 10016",0,1,0,0,0,40.7471448,-73.9808403,12
"225 E 36th St APT 15B, New York, NY 10016",0,1,0,0,0,40.7466802,-73.9757942,12
"405 E 63rd St APT 9B, New York, NY 10065",0,1,0,0,0,40.7619996,-73.9593783,3
"150 E 61st St APT 3B, New York, NY 10065",0,1,575,0,0,40.7631938,-73.9669656,3
"130 Water St APT 3D, New York, NY 10005",0,1,0,0,0,40.7056373,-74.0070218,12
"17 W 108th St APT 88, New York, NY 10025",2,1,0,0,0,40.7999265,-73.9602134,3
"512 E 82nd St #3D, New York, NY 10028",1,1,0,0,0,40.7728278,-73.9483154,3
"35 Park Ave APT 10E, New York, NY 10016",0,1,0,0,0,40.7480293,-73.9802951,12
"50 E 1st St #1, New York, NY 10003",1,1,350,0,0,40.7239405,-73.9895428,12
"712 W 175th St APT 4B, New York, NY 10033",2,1,0,0,0,40.8462162,-73.9392642,0
"222 E 35th St APT 5C, New York, NY 10016",1,1,800,0,0,40.7457679,-73.9766886,12
"177 E 93rd St APT 2C, New York, NY 10128",1,1,700,0,0,40.7837936,-73.9515314,3
"325 W 45th St #703, New York, NY 10036",0,1,400,0,0,40.7599166,-73.989617,12
"25 Tudor City Pl APT 1720, New York, NY 10017",1,1,600,0,0,40.7486361,-73.9705046,12
"201 W 21st St APT 5E, New York, NY 10011",0,1,0,0,0,40.7430253,-73.9968208,12
"625 E 6th St APT 5, New York, NY 10009",0,1,600,0,0,40.7240812,-73.9802345,12
"127 W 96th St APT 12G, New York, NY 10025",0,1,0,0,0,40.7937732,-73.9690229,3
"57 Park Ter W APT 5H, New York, NY 10034",1,1,800,0,0,40.8712171,-73.9179755,11
"420 E 51st St APT 10C, New York, NY 10022",2,2,1200,0,0,40.7540119,-73.9651755,3
"181 E 101st St #204, New York, NY 10029",0,1,429,0,0,40.7888462,-73.9478828,3
"930 Saint Nicholas Ave APT 63, New York, NY 10032",2,1,0,0,0,40.8317363,-73.9407762,0
"502 W 141st St APT 2B, New York, NY 10031",2,1,0,0,0,40.8227339,-73.9501289,0
"330 E 49th St APT 8G, New York, NY 10017",0,1,446,0,0,40.7535152,-73.967769,3
"15 Jones St APT 1B, New York, NY 10014",1,1,0,0,0,40.7322598,-74.0023646,12
"55 E 9th St APT 8C, New York, NY 10003",0,1,0,0,0,40.7317271,-73.9927744,12
"160 W End Ave APT 8G, New York, NY 10023",0,1,0,0,0,40.7761323,-73.9849173,3
"411 E 85th St, New York, NY 10028",2,1,950,0,0,40.7760755,-73.9491065,3
"207 E 21st St APT 5B, New York, NY 10010",1,1,0,0,0,40.7374624,-73.9833432,12
"403 E 62nd St APT 4D, New York, NY 10065",0,1,488,0,0,40.7614519,-73.9599848,3
"230 E 71st St APT 2A, Manhattan, NY 10021",1,1,650,0,0,40.7682206,-73.9596525,3
"321 E 43rd St APT 114, New York, NY 10017",1,1,0,0,0,40.7502197,-73.9703532,12
"817 W End Ave APT 3CC, New York, NY 10025",1,1,565,0,0,40.7976948,-73.9716509,3
"159 Madison Ave APT 12D, New York, NY 10016",1,1,0,0,0,40.746707,-73.983684,12
"150 E 37th St PENTHOUSE A, New York, NY 10016",0,1,0,0,0,40.747819,-73.9776662,12
