Address,Beds,Baths,Area,Construction,Parking,Price
"181-46 144th Ave, Springfield Gardens, NY 11413",4,2,3400,0,0,"$590,000"
"114-32 169th St, Jamaica, NY 11434",4,3,2628,0,0,"$540,000"
"21925 Murdock Ave, Jamaica, NY 11429",2,2,1100,0,0,"$589,000"
"17150 107th Ave, Jamaica, NY 11433",3,3,0,0,0,"$589,000"
"(Undisclosed Address), Jamaica, NY 11436",3,2,0,0,0,"$595,000"
"62-98 Woodhaven Blvd #6A, Middle Village, NY 11379",1,1,605,0,0,"$525,000"
"61-15 97th St #4F, Rego Park, NY 11374",3,2,1200,0,0,"$599,000"
"64-62 58th Rd, Maspeth, NY 11378",1,2,0,0,0,"$539,000"
"139-15 34th Ave APT 2A, Flushing, NY 11354",2,2,836,0,0,"$599,000"
"8080 Cypress Ave, Glendale, NY 11385",2,1,2520,0,0,"$590,000"
"98-33 212th St, Queens Village, NY 11429",3,3,0,0,0,"$590,000"
"11415 118th St, Jamaica, NY 11420",7,3,1840,0,0,"$520,000"
"12-15 Broadway #523, Astoria, NY 11106",1,1,664,0,0,"$597,600"
"88-24 241st St, Bellerose, NY 11426",3,2,0,0,0,"$599,000"
"2 Bay Club Dr APT 15O, Flushing, NY 11360",1,1,0,0,0,"$548,000"
"98-20 62nd Dr APT 7J, Rego Park, NY 11374",3,2,1200,0,0,"$518,000"
"105-28 191st St, Saint Albans, NY 11412",3,2,1360,0,0,"$600,000"
"220-11 130th Ave, Springfield Gardens, NY 11413",4,2,0,0,0,"$600,000"
"142-11 Sutter Ave S, Jamaica, NY 11436",3,3,0,0,0,"$599,999"
"121-25 Farmers Blvd, Springfield Gardens, NY 11413",3,2,0,0,0,"$600,000"
"116-12 146th St, Jamaica, NY 11436",3,2,0,0,0,"$575,000"
"94-32 133rd Ave, Ozone Park, NY 11417",5,3,1638,0,0,"$575,000"
"111-17 113th St, South Ozone Park, NY 11420",2,2,0,0,0,"$529,999"
"114-32 158th St, Jamaica, NY 11434",4,2,0,0,0,"$580,000"
"91-33 88th Ave, Woodhaven, NY 11421",3,2,1200,0,0,"$540,000"
"92-21 77th St, Woodhaven, NY 11421",3,2,0,0,0,"$598,000"
"24715 87th Dr, Jamaica, NY 11426",3,2,1088,0,0,"$559,000"
"17983 Selover Rd, Jamaica, NY 11434",3,2,1426,0,0,"$560,000"
"62-54 97th Pl #10B, Rego Park, NY 11374",1,1,900,0,0,"$530,000"
"115-10 203rd St, Saint Albans, NY 11412",3,2,1836,0,0,"$599,000"
"114-29 166th St, Jamaica, NY 11434",3,4,3049,0,0,"$549,000"
"48-02 43rd St #7A, Woodside, NY 11377",2,1,954,0,0,"$549,000"
"1039 116th St, Flushing, NY 11356",2,2,960,0,0,"$599,999"
"8257 251st St, Bellerose, NY 11426",3,4,1782,0,0,"$599,000"
"107-52 139th St, Jamaica, NY 11435",3,2,1280,0,0,"$550,000"
"82-15 251st St, Bellerose, NY 11426",3,2,0,0,0,"$588,888"
"176-27 134th Ave, Jamaica, NY 11434",4,2,1186,0,0,"$550,000"
"169-24 144th Ave, Jamaica, NY 11434",4,1,1125,0,0,"$549,999"
"149-07 Sanford Ave #3A, Flushing, NY 11355",3,3,1652,0,0,"$585,000"
"4-74 48th Ave PENTHOUSE 1C, Long Island City, NY 11109",1,1,921,0,0,"$580,000"
