Address,Beds,Baths,Area,Construction,Parking,Price
"85-08 247th St, Bellerose, NY 11426",3,2,0,0,0,"$798,000"
"223-16 107th Ave, Queens Village, NY 11429",5,2,1460,0,0,"$745,000"
"71-03 72nd St, Ridgewood, NY 11385",3,2,1450,0,0,"$799,000"
"128-55 233, Rosedale, NY 11422",3,2,1230,0,0,"$799,000"
"120-24 Ketch Ct, College Pt, NY 11356",3,2,0,0,0,"$759,000"
"14960 257th St, Jamaica, NY 11422",4,3,0,0,0,"$749,990"
"8813 Sutter Ave, Jamaica, NY 11417",4,3,0,0,0,"$799,000"
"96-17 221st St, Queens Village, NY 11429",3,3,2937,0,0,"$719,000"
"64-26 71st St, Middle Village, NY 11379",3,3,1957,0,0,"$749,000"
"174-22 125th Ave, Jamaica, NY 11434",5,3,1600,0,0,"$725,000"
"84-75 127th St, Kew Gardens, NY 11415",3,2,1632,0,0,"$769,000"
"45-08 40th St, Sunnyside, NY 11104",4,2,0,0,0,"$759,000"
"24912 Rushmore Ter, Flushing, NY 11362",3,1,1468,0,0,"$700,000"
"17217 Baisley Blvd, Jamaica, NY 11434",5,3,0,0,0,"$719,000"
"95-75 115th St, South Richmond Hill, NY 11419",6,4,0,0,0,"$750,000"
"88-17 90th St, Woodhaven, NY 11421",6,2,0,0,0,"$720,000"
"10728 128th St, South Richmond Hill, NY 11419",5,4,1550,0,0,"$739,000"
"53-31 64th St, Maspeth, NY 11378",3,2,0,0,0,"$788,000"
"112-16 196th St #2, Saint Albans, NY 11412",5,3,2450,0,0,"$779,500"
"4-74 48th Ave APT 19A, Long Island City, NY 11109",2,2,1046,0,0,"$745,000"
"91-15 215th Pl, Queens Village, NY 11428",3,3,0,0,0,"$799,000"
"14444 Jewel Ave, Flushing, NY 11367",6,3,2700,0,0,"$799,999"
"80-68 88th Rd, Woodhaven, NY 11421",5,2,0,0,0,"$749,000"
"10617 154th St, Jamaica, NY 11433",5,5,0,0,0,"$788,000"
"3624 11th St, Long Island City, NY 11106",2,1,660,0,0,"$799,000"
"35-15 78th St APT 32, Jackson Heights, NY 11372",2,1,1140,0,0,"$785,000"
"60-21 78th Ave, Ridgewood, NY 11385",3,2,1600,0,0,"$769,000"
"62-13 Dry Harbor Rd, Middle Village, NY 11379",3,1,0,0,0,"$729,000"
"2536 Gillmore St, Flushing, NY 11369",3,3,1045,0,0,"$798,000"
"78-22 88th Rd, Woodhaven, NY 11421",5,4,2500,0,0,"$750,000"
"474 48th Ave APT 29B, Long Island City, NY 11109",2,2,1046,0,0,"$789,000"
"8663 91st St, Jamaica, NY 11421",3,2,1680,0,0,"$749,000"
"10518 90th St, Ozone Park, NY 11417",3,2,2261,0,0,"$759,999"
"6928 Juniper Valley Rd, Flushing, NY 11379",3,3,1281,0,0,"$799,000"
"23509 Bentley Rd, Jamaica, NY 11422",6,4,1850,0,0,"$739,000"
"94-15 75th St, Woodhaven, NY 11421",5,3,0,0,0,"$769,000"
"163-33 95th St, Howard Beach, NY 11414",3,2,1050,0,0,"$729,999"
"16807 Northern Blvd, Flushing, NY 11358",0,0,0,0,0,"$750,000"
"14711 41st Ave, Flushing, NY 11355",4,3,1300,0,0,"$799,000"
"82-19 25th Ave, East Elmhurst, NY 11370",3,2,1536,0,0,"$799,999"
