Address,Beds,Baths,Area,Construction,Parking,Price
"460 N Burgher Ave, Staten Island, NY 10310",3,2,1778,0,0,"$674,999"
"123 Hooper Ave, Staten Island, NY 10306",6,2,2522,0,0,"$665,000"
"462 Hunter Ave, Staten Island, NY 10306",3,2,1350,0,0,"$625,000"
"156 Boundary Ave, Staten Island, NY 10306",3,3,1560,0,0,"$669,000"
"91 Acacia Ave, Staten Island, NY 10308",3,2,1396,0,0,"$639,000"
"233 Butler Ave, Staten Island, NY 10307",3,2,1200,0,0,"$629,000"
"1187 Father Capodanno Blvd, Staten Island, NY 10306",3,3,1567,0,0,"$699,000"
"412 Burgher Ave, Staten Island, NY 10305",3,2,1080,0,0,"$600,000"
"19 Monroe Ave, Staten Island, NY 10301",3,2,1879,0,0,"$699,000"
"12 Justin Ave, Staten Island, NY 10306",3,4,2250,0,0,"$699,999"
"181 Beach Ave, Staten Island, NY 10306",3,2,1400,0,0,"$629,900"
"391 Riedel Ave, Staten Island, NY 10306",3,3,1400,0,0,"$619,900"
"51 Osgood Ave, Staten Island, NY 10304",6,2,2600,0,0,"$629,000"
"208 Dickie Ave, Staten Island, NY 10314",2,2,1224,0,0,"$619,900"
"33 Groton St, Staten Island, NY 10312",4,2,1632,0,0,"$699,000"
"168 Moreland St, Staten Island, NY 10306",3,3,1900,0,0,"$698,000"
"461 Pendale St, Staten Island, NY 10306",2,2,960,0,0,"$699,000"
"94 Cranford Ave, Staten Island, NY 10306",3,2,2112,0,0,"$699,000"
"297 Clarke Ave, Staten Island, NY 10306",3,2,2000,0,0,"$699,000"
"82 Rye Ave, Staten Island, NY 10312",3,3,1560,0,0,"$629,000"
"496 Greeley Ave, Staten Island, NY 10306",3,3,973,0,0,"$674,999"
"139 Arlington Ave, Staten Island, NY 10303",4,2,1484,0,0,"$629,900"
"33 Harrison St, Staten Island, NY 10304",4,3,2695,0,0,"$669,999"
"48 Robin Ct, Staten Island, NY 10309",3,3,2400,0,0,"$649,900"
"49 Legion Pl, Staten Island, NY 10305",3,3,1344,0,0,"$649,999"
"45 Scott Ave, Staten Island, NY 10305",6,4,2350,0,0,"$674,999"
"3553 Hylan Blvd, Staten Island, NY 10308",3,2,1472,0,0,"$639,000"
"569 Oakland Ave, Staten Island, NY 10310",4,3,1365,0,0,"$670,000"
"27 Millennium Loop, Staten Island, NY 10309",3,3,1832,0,0,"$689,900"
"3 Hammock Ln, Staten Island, NY 10312",3,3,2392,0,0,"$649,900"
"35 Center Pl, Staten Island, NY 10306",3,3,1400,0,0,"$629,000"
"734 Jewett Ave, Staten Island, NY 10314",3,2,1850,0,0,"$650,000"
