Address,Beds,Baths,Area,Construction,Parking,Price
"1129 Stratford Ave, Bronx, NY 10472",6,3,2040,0,0,"$845,000"
"2594 Briggs Ave, Bronx, NY 10458",7,3,1100,0,0,"$850,000"
"1672 Lurting Ave FLOOR 2, Bronx, NY 10461",6,3,0,0,0,"$899,900"
"3340 Wickham Ave #B, Bronx, NY 10469",7,3,0,0,0,"$879,000"
"556 Underhill Ave, Bronx, NY 10473",6,2,1890,0,0,"$859,000"
"2424 Barnes Ave, Bronx, NY 10467",6,4,3500,0,0,"$849,000"
"5803 Mosholu Ave, Bronx, NY 10471",3,3,1750,0,0,"$825,000"
"2000 Hermany Ave, Bronx, NY 10473",5,2,1968,0,0,"$850,000"
"6040 Liebig Ave, Bronx, NY 10471",3,2,1550,0,0,"$845,000"
"3018 Laconia Ave #B, Bronx, NY 10469",5,3,0,0,0,"$849,000"
"736 Noble Ave, Bronx, NY 10473",10,4,0,0,0,"$875,000"
"1244 Waring Ave, Bronx, NY 10469",5,2,2150,0,0,"$895,000"
"5835 Liebig Ave, Bronx, NY 10471",3,2,1200,0,0,"$819,000"
"1134 Ward Ave, Bronx, NY 10472",6,3,4000,0,0,"$870,000"
"4312 De Reimer Ave, Bronx, NY 10466",7,3,3375,0,0,"$885,000"
"253 W 260th St, Bronx, NY 10471",3,3,1240,0,0,"$853,599"
"736 Elton Ave, Bronx, NY 10455",5,3,2400,0,0,"$899,000"
"2983 Perry Ave, Bronx, NY 10458",4,3,3400,0,0,"$840,000"
"2354 Waterbury Ave, Bronx, NY 10462",5,2,2496,0,0,"$885,000"
"498 Concord Ave, Bronx, NY 10455",8,3,3252,0,0,"$848,000"
"704 Hollywood Ave, Bronx, NY 10465",5,2,1840,0,0,"$849,000"
"421 E 147th St, Bronx, NY 10455",5,3,2340,0,0,"$850,000"
"1462 Rosedale Ave, Bronx, NY 10460",7,3,3000,0,0,"$849,000"
"1453 Merry Ave, Bronx, NY 10461",3,2,1912,0,0,"$880,000"
"1118 Underhill Ave, Bronx, NY 10472",3,2,1929,0,0,"$819,000"
"361 E 153rd St #3, Bronx, NY 10455",8,6,3425,0,0,"$810,000"
"2411 Buck St, Bronx, NY 10461",5,3,2300,0,0,"$899,000"
"1733 Montgomery Ave, Bronx, NY 10453",8,5,0,0,0,"$825,000"
"3924 Bailey Ave, Bronx, NY 10463",3,3,1947,0,0,"$849,000"
"2727 Palisade Ave #15FG, Bronx, NY 10463",4,3,2000,0,0,"$865,000"
"817 E 170th St FLOOR 1, Bronx, NY 10459",6,5,0,0,0,"$829,000"
"1210 Vyse Ave, Bronx, NY 10459",5,3,2100,0,0,"$899,000"
"4022 Amundson Ave, Bronx, NY 10466",6,2,3868,0,0,"$870,000"
"1756 Lacombe Ave, Bronx, NY 10473",6,3,0,0,0,"$800,000"
"1772 Sedgwick Ave, Bronx, NY 10453",4,2,0,0,0,"$829,000"
"543 Ellsworth Ave, Bronx, NY 10465",7,3,3990,0,0,"$899,999"
"1431 Pelham Pkwy N, Bronx, NY 10469",3,3,1944,0,0,"$895,000"
"672 Rhinelander Ave, Bronx, NY 10462",5,2,2610,0,0,"$849,000"
"1082 Pierce Ave, Bronx, NY 10461",5,2,1970,0,0,"$899,990"
"1896 Obrien Ave, Bronx, NY 10473",5,3,0,0,0,"$819,000"
"3645 Palmer Ave, Bronx, NY 10466",6,2,2053,0,0,"$899,000"
