Address,Beds,Baths,Area,Construction,Parking,Price
"122 Watchogue Rd, Staten Island, NY 10314",3,3,1180,0,0,"$599,000"
"585 Greeley Ave, Staten Island, NY 10306",3,2,1520,0,0,"$549,000"
"17 Fairbanks Ave, Staten Island, NY 10306",3,3,1448,0,0,"$598,000"
"23 Hickory Cir, Staten Island, NY 10312",3,3,1567,0,0,"$549,888"
"346 Seaver Ave, Staten Island, NY 10305",3,3,1150,0,0,"$599,999"
"104 Belfast Ave, Staten Island, NY 10306",3,2,1225,0,0,"$599,000"
"116 Marine Way, Staten Island, NY 10306",2,1,1372,0,0,"$539,000"
"140 Nicholas Ave, Staten Island, NY 10302",3,2,1620,0,0,"$549,999"
"586 Henderson Ave, Staten Island, NY 10310",5,2,1292,0,0,"$599,000"
"226 Ashworth Ave, Staten Island, NY 10314",3,2,1280,0,0,"$569,000"
"3744 Amboy Rd, Staten Island, NY 10308",3,1,1662,0,0,"$549,900"
"226 Balsam Pl, Staten Island, NY 10309",4,2,1880,0,0,"$599,000"
"351 Guyon Ave, Staten Island, NY 10306",4,2,2776,0,0,"$550,000"
"92 David St, Staten Island, NY 10308",3,3,0,0,0,"$598,888"
"403 Manhattan St, Staten Island, NY 10307",3,2,1490,0,0,"$599,888"
"54 Lamberts Ln, Staten Island, NY 10314",3,3,1260,0,0,"$588,999"
"4114 Richmond Ave, Staten Island, NY 10312",4,2,1258,0,0,"$599,999"
"90 Arrowood Ct #590-1205, Staten Island, NY 10309",3,3,2100,0,0,"$599,000"
"86 Arlington Pl, Staten Island, NY 10303",4,3,1980,0,0,"$549,000"
"2016 Richmond Rd, Staten Island, NY 10306",2,3,1500,0,0,"$589,000"
"47 Venus Ln, Staten Island, NY 10314",3,3,1500,0,0,"$599,000"
"167 Tysens Ln, Staten Island, NY 10306",3,2,1292,0,0,"$599,000"
"11 Mersereau Ave, Staten Island, NY 10303",4,3,0,0,0,"$549,999"
"27 Berry Ct #565, Staten Island, NY 10309",3,3,2100,0,0,"$549,000"
"17 Erwin Ct, Staten Island, NY 10306",3,3,1685,0,0,"$599,000"
"170 Woolley Ave, Staten Island, NY 10314",3,1,962,0,0,"$599,900"
