Address,Price
"256 W 75th St, New York, NY 10023","5,500,000"
"45 W 110th St APT 2B, New York, NY 10026","899,000"
"106 W 117th St APT 2E, New York, NY 10026","619,000"
"350 Bleecker St APT LB, New York, NY 10014","1,200,000"
"788 9th Ave APT 5B, New York, NY 10019","795,000"
"50 West St PENTHOUSE B58, New York, NY 10006","14,495,000"
"120 Manhattan Ave APT 4A, New York, NY 10025","1,295,000"
"205 3rd Ave APT 8M, New York, NY 10003","699,000"
"236 E 78th St APT 5D, New York, NY 10075","349,000"
"1486 5th Ave APT 3N, New York, NY 10035","265,000"
"134 W 82nd St APT 3C, New York, NY 10024","629,000"
"100 W 119th St PENTHOUSE A, New York, NY 10026","1,975,000"
"155 E 76th St #10HJ, New York, NY 10021","3,200,000"
"108 W 69th St APT 10, New York, NY 10023","1,150,000"
"457 W 57th St #1116, New York, NY 10019","399,000"
"445 Lafayette St APT 5B, New York, NY 10003","2,845,000"
"142 E End Ave, New York, NY 10028","7,500,000"
"152 E 63rd St #1/2, New York, NY 10065","9,999,999"
"111 W 57th St #68, New York, NY 10019","30,000,000"
"53 Stanton St #6B, New York, NY 10002","399,999"
"50 Avenue A APT 6B, New York, NY 10009","1,795,000"
"350 E 82nd St APT 2J, New York, NY 10028","1,225,000"
"585 W 214th St APT 1A, New York, NY 10034","250,000"
"323 E 21st St APT 2M, New York, NY 10010","449,000"
"312 W 90th St, New York, NY 10024","4,150,000"
"210 E 21st St APT 4B, New York, NY 10010","325,000"
"148 W 23rd St APT 11A, New York, NY 10011","1,350,000"
"250 E 49th St #19A, New York, NY 10017","949,000"
"293 Lafayette St PENTHOUSE V, New York, NY 10012","23,500,000"
"210 W 122nd St #1, New York, NY 10027","4,350,000"
"45 Tudor City Pl APT 402, New York, NY 10017","265,000"
"106 Central Park S #21AE, New York, NY 10019","28,000,000"
"39 E 12th St APT 701, New York, NY 10003","760,000"
"229 W 144th St APT 24, New York, NY 10030","310,000"
