Address,Beds,Baths,Area,Construction,Parking,Price
"97 S 8th St APT 22, Brooklyn, NY 11249",2,1,0,0,0,"$325,000"
"1105 Winthrop St, Brooklyn, NY 11212",5,3,0,0,0,"$400,000"
"2525 Nostrand Ave APT 6N, Brooklyn, NY 11210",2,1,0,0,0,"$309,000"
"100 Remsen St APT 3D, Brooklyn, NY 11201",1,1,700,0,0,"$379,500"
"2260 Benson Ave APT 5D, Brooklyn, NY 11214",1,1,850,0,0,"$399,000"
"32 Herkimer St APT 4, Brooklyn, NY 11216",3,1,0,0,0,"$375,000"
"1165 E 54th St APT 6X, Brooklyn, NY 11234",3,2,1100,0,0,"$319,000"
"68 Garden St #B3C, Brooklyn, NY 11206",2,2,1060,0,0,"$349,000"
"65 N 8th St APT 12, Brooklyn, NY 11249",2,1,500,0,0,"$399,000"
"1165 E 54th St APT 1X, Brooklyn, NY 11234",3,2,1200,0,0,"$300,000"
"400 Cozine Ave APT 2H, Brooklyn, NY 11207",2,1,919,0,0,"$360,000"
"330 S 3rd St APT 18, Brooklyn, NY 11211",2,1,0,0,0,"$389,000"
"901 Avenue H APT 1E, Brooklyn, NY 11230",2,1,1000,0,0,"$360,000"
"7401 4th Ave APT A7, Brooklyn, NY 11209",1,1,600,0,0,"$345,000"
"339 Bedford Ave APT 5, Brooklyn, NY 11211",1,1,0,0,0,"$375,000"
"4024 Surf Ave, Brooklyn, NY 11224",7,4,3000,0,0,"$390,000"
"78 S 1st St APT 25, Brooklyn, NY 11249",1,1,450,0,0,"$399,000"
"2155 Kimball St #1F, Brooklyn, NY 11234",2,2,750,0,0,"$399,999"
"224 Highland Blvd APT 304, Brooklyn, NY 11207",2,2,1400,0,0,"$350,000"
"648 Grand St APT 2D, Brooklyn, NY 11211",1,1,0,0,0,"$375,000"
"1151 Brighton Beach Ave #N3, Brooklyn, NY 11235",1,1,800,0,0,"$310,000"
"35 Crown St APT 3C, Brooklyn, NY 11225",1,1,0,0,0,"$399,000"
"145 95th St APT C4, Brooklyn, NY 11209",1,1,1000,0,0,"$330,000"
"462 6th St APT 2D, Brooklyn, NY 11215",0,1,0,0,0,"$345,000"
"100 Remsen St APT 3H, Brooklyn, NY 11201",1,1,0,0,0,"$374,000"
"3929 New Utrecht Ave #2A, Brooklyn, NY 11219",1,1,551,0,0,"$380,000"
"1050 Hancock St APT 4C, Brooklyn, NY 11221",2,1,850,0,0,"$355,000"
"153 Joralemon St APT 5R, Brooklyn, NY 11201",0,1,0,0,0,"$340,000"
"745 E 31st St APT 7G, Brooklyn, NY 11210",3,1,1000,0,0,"$335,000"
"167 Havemeyer St APT 1, Brooklyn, NY 11211",3,1,0,0,0,"$399,000"
"475 7th Ave APT 1R, Brooklyn, NY 11215",0,1,0,0,0,"$325,000"
"167 Havemeyer St #4, Brooklyn, NY 11211",2,1,0,0,0,"$349,000"
"354 S 3rd St APT 1F, Brooklyn, NY 11211",1,1,410,0,0,"$375,000"
"1720 E 13th St APT 5H, Brooklyn, NY 11229",2,1,0,0,0,"$319,000"
"79 Abbey Ct, Brooklyn, NY 11229",2,2,960,0,0,"$369,900"
"1270 E 51st St APT 3E, Brooklyn, NY 11234",3,2,0,0,0,"$315,000"
"2222 Ocean Ave #3E, Brooklyn, NY 11229",0,1,431,0,0,"$370,000"
"1360 Ocean Pkwy APT 1H, Brooklyn, NY 11230",2,1,703,0,0,"$329,000"
"190 Cozine Ave APT 2E, Brooklyn, NY 11207",2,1,885,0,0,"$375,000"
"9265 Shore Rd APT 3B, Brooklyn, NY 11209",1,1,0,0,0,"$399,000"
