Address,Beds,Baths,Area,Construction,Parking,Price
"8 Sidney Pl APT 5, Brooklyn, NY 11201",1,1,0,0,0,"$999,000"
"331 E 26th St, Brooklyn, NY 11226",5,3,1888,0,0,"$950,000"
"260 E 93rd St, Brooklyn, NY 11236",9,5,0,0,0,"$949,000"
"20 Sheridan Ave, Brooklyn, NY 11208",6,4,2438,0,0,"$999,000"
"260 E 93rd St, Brooklyn, NY 11212",9,5,3360,0,0,"$949,900"
"360 Furman St APT 316, Brooklyn, NY 11201",0,1,843,0,0,"$915,000"
"1724 55th St, Brooklyn, NY 11204",3,2,1088,0,0,"$999,000"
"372 De Kalb Ave #2I, Brooklyn, NY 11221",1,1,1100,0,0,"$995,000"
"2013 E 38th St, Brooklyn, NY 11234",4,3,1536,0,0,"$979,000"
"2631 Brown St, Brooklyn, NY 11235",5,4,2232,0,0,"$999,000"
"1296 Park Pl #4F, Brooklyn, NY 11213",3,2,1261,0,0,"$978,000"
"1281 Saint Johns Pl, Brooklyn, NY 11213",18,6,6006,0,0,"$929,000"
"992 E 40th St, Brooklyn, NY 11210",4,4,1392,0,0,"$919,000"
"1156 81st St, Brooklyn, NY 11228",3,2,1440,0,0,"$985,000"
"153 Lafayette Ave APT 4, Brooklyn, NY 11238",2,1,0,0,0,"$939,000"
"2270 E 29th St, Brooklyn, NY 11229",4,3,2027,0,0,"$949,000"
"1500 E 51st St, Brooklyn, NY 11234",5,4,2419,0,0,"$949,000"
"270 5th St APT 2G, Brooklyn, NY 11215",2,1,922,0,0,"$999,000"
"8122 10th Ave, Brooklyn, NY 11228",3,3,1360,0,0,"$998,888"
"2048 W 12th St, Brooklyn, NY 11223",3,3,1840,0,0,"$990,000"
"85 Carlton Ave, Brooklyn, NY 11205",2,2,885,0,0,"$945,000"
"193 Sterling Pl APT 1, Brooklyn, NY 11238",2,1,0,0,0,"$960,000"
"360 Court St APT 19, Brooklyn, NY 11231",1,1,975,0,0,"$995,000"
"2052 64th St, Brooklyn, NY 11204",3,2,2200,0,0,"$995,000"
"1818 E 17th St, Brooklyn, NY 11229",4,3,1568,0,0,"$975,000"
"101 Prospect Park SW APT 2A, Brooklyn, NY 11218",2,2,842,0,0,"$995,000"
"41 Rochester Ave, Brooklyn, NY 11233",6,2,2595,0,0,"$975,000"
"133 E 29th St, Brooklyn, NY 11226",4,3,1916,0,0,"$925,000"
"424 13th St #4C, Brooklyn, NY 11215",1,1,0,0,0,"$930,000"
"483 E 96th St, Brooklyn, NY 11212",7,3,2720,0,0,"$975,000"
"2259 E 18th St, Brooklyn, NY 11229",3,2,1399,0,0,"$975,000"
"135 N 11th St APT 4C, Brooklyn, NY 11249",1,1,625,0,0,"$925,000"
"76 Jefferson St APT 1, Brooklyn, NY 11206",2,2,1827,0,0,"$900,000"
"2227 E 57th Pl, Brooklyn, NY 11234",5,3,2464,0,0,"$979,000"
"5301 Avenue O, Brooklyn, NY 11234",6,4,3900,0,0,"$979,000"
"2154 Beverley Rd, Brooklyn, NY 11226",4,2,1600,0,0,"$925,000"
"264 President St APT 4, Brooklyn, NY 11231",2,1,0,0,0,"$999,000"
"587 3rd Ave, Brooklyn, NY 11215",4,2,1512,0,0,"$948,000"
