Address,Beds,Baths,Area,Construction,Parking,Price
"709 E 51st St, Brooklyn, NY 11203",5,4,3200,0,0,"$899,000"
"1833 Marine Pkwy, Brooklyn, NY 11234",3,2,3100,0,0,"$868,000"
"2139 E 34th St, Brooklyn, NY 11234",3,3,2225,0,0,"$869,000"
"978 Rogers Ave, Brooklyn, NY 11226",5,2,0,0,0,"$899,999"
"1686 Rockaway Pkwy, Brooklyn, NY 11236",5,3,0,0,0,"$849,999"
"9917 Shore Rd APT 2A, Brooklyn, NY 11209",2,2,1025,0,0,"$875,000"
"1935 W 8th St, Brooklyn, NY 11223",2,3,1200,0,0,"$869,000"
"467 Milford St, Brooklyn, NY 11208",6,3,2300,0,0,"$899,000"
"2380 E 71st St, Brooklyn, NY 11234",4,3,2580,0,0,"$859,999"
"188 Autumn Ave, Brooklyn, NY 11208",6,3,3080,0,0,"$899,999"
"449 Berriman St #A, Brooklyn, NY 11208",5,3,0,0,0,"$889,000"
"394 Lincoln Pl APT B4, Brooklyn, NY 11238",2,1,1000,0,0,"$849,000"
"375 Lincoln Pl APT 3I, Brooklyn, NY 11238",2,1,0,0,0,"$825,000"
"570 Cleveland St, Brooklyn, NY 11208",8,3,2080,0,0,"$849,999"
"386 Warren St APT 3R, Brooklyn, NY 11201",2,1,824,0,0,"$899,000"
"1500 Bedford Ave APT 1F, Brooklyn, NY 11216",3,2,1163,0,0,"$850,000"
"262 E 39th St, Brooklyn, NY 11203",4,3,1780,0,0,"$899,000"
"427 15th St APT 4B, Brooklyn, NY 11215",2,1,0,0,0,"$829,000"
"1147 74th St, Brooklyn, NY 11228",3,2,1102,0,0,"$830,000"
"1259 E 100th St, Brooklyn, NY 11236",4,3,1562,0,0,"$875,000"
"96 Schermerhorn St APT 1F, Brooklyn, NY 11201",1,2,1306,0,0,"$875,000"
"311 Hart St #1F, Brooklyn, NY 11206",3,2,1263,0,0,"$815,000"
"2336 Brigham St, Brooklyn, NY 11229",4,2,2833,0,0,"$899,999"
"343 Elton St, Brooklyn, NY 11208",7,4,0,0,0,"$889,999"
"1369 E 17th St, Brooklyn, NY 11230",0,3,1700,0,0,"$889,000"
"155 Saratoga Ave #1, Brooklyn, NY 11233",12,6,4350,0,0,"$850,000"
"408 Saint Johns Pl APT 5E, Brooklyn, NY 11238",2,2,900,0,0,"$850,000"
"342 Chauncey St #342B, Brooklyn, NY 11233",3,2,1112,0,0,"$869,000"
"9207 Avenue K, Brooklyn, NY 11236",4,3,2475,0,0,"$859,000"
"984 E 31st St, Brooklyn, NY 11210",3,3,2117,0,0,"$899,000"
"301 Schenck Ave, Brooklyn, NY 11207",5,3,0,0,0,"$899,999"
"30 Gatling Pl, Brooklyn, NY 11209",3,2,943,0,0,"$820,000"
"366 Van Sicklen St, Brooklyn, NY 11223",3,2,2150,0,0,"$890,000"
"308 Hemlock St, Brooklyn, NY 11208",5,3,2160,0,0,"$859,000"
"202 Bay 11 St, Brooklyn, NY 11228",3,3,1933,0,0,"$899,000"
"982 E 31st St, Brooklyn, NY 11210",3,3,1440,0,0,"$859,000"
"9717 Barwell Ter, Brooklyn, NY 11209",2,2,1004,0,0,"$850,000"
"161 Menahan St, Brooklyn, NY 11221",2,3,2000,0,0,"$875,000"
"1415 E 45th St, Brooklyn, NY 11234",3,3,1925,0,0,"$849,000"
"164 Sterling Pl APT 3B, Brooklyn, NY 11217",2,2,0,0,0,"$899,000"
