Address,Beds,Baths,Area,Construction,Parking,Price
"1621 Yates Ave, Bronx, NY 10461",4,3,1824,0,0,"$709,000"
"2761 Briggs Ave, Bronx, NY 10458",6,3,2596,0,0,"$775,000"
"3445 Corlear Ave, Bronx, NY 10463",2,3,0,0,0,"$724,999"
"2870 Harrington Ave, Bronx, NY 10461",4,2,1612,0,0,"$799,000"
"4114 De Reimer Ave, Bronx, NY 10466",5,2,0,0,0,"$749,000"
"321 E 169th St, Bronx, NY 10456",8,3,0,0,0,"$700,000"
"681 Eagle Ave, Bronx, NY 10455",8,3,2964,0,0,"$785,000"
"1643 Edison Ave, Bronx, NY 10461",0,0,2172,0,0,"$799,999"
"1963 Paulding Ave, Bronx, NY 10462",3,2,1741,0,0,"$700,000"
"1047 E 214th St, Bronx, NY 10469",4,3,1850,0,0,"$769,000"
"73 Earley St, Bronx, NY 10464",6,3,1820,0,0,"$749,000"
"3438 Giles Pl, Bronx, NY 10463",3,2,2053,0,0,"$795,999"
"3171 Fairmount Ave, Bronx, NY 10465",3,3,0,0,0,"$739,000"
"445 E 239th St, Bronx, NY 10470",3,2,1718,0,0,"$700,000"
"2085 Nereid Ave, Bronx, NY 10466",3,3,1795,0,0,"$749,000"
"3420 Giles Pl, Bronx, NY 10463",4,2,1850,0,0,"$775,000"
"2060 Newbold Ave, Bronx, NY 10462",5,2,1936,0,0,"$728,000"
"744 E 216th St, Bronx, NY 10467",6,4,3240,0,0,"$750,000"
"1629 Pelham Pkwy N, Bronx, NY 10469",3,3,2125,0,0,"$729,900"
"526 Underhill Ave, Bronx, NY 10473",6,3,2554,0,0,"$799,000"
"2383 Davidson Ave, Bronx, NY 10468",4,4,2244,0,0,"$799,000"
"4336 Carpenter Ave, Bronx, NY 10466",5,3,3681,0,0,"$749,000"
"3013 Baisley Ave, Bronx, NY 10461",3,3,2048,0,0,"$768,000"
"4123 Wickham Ave, Bronx, NY 10466",4,3,1614,0,0,"$714,999"
"2429 Matthews Ave, Bronx, NY 10467",4,2,1485,0,0,"$719,000"
"1859 Loring Pl S, Bronx, NY 10453",6,3,3705,0,0,"$775,000"
"681 E 240th St, Bronx, NY 10470",7,3,2400,0,0,"$750,000"
"517 E 234th St, Bronx, NY 10470",6,3,2400,0,0,"$769,000"
"1092 Rhinelander Ave, Bronx, NY 10461",4,3,1863,0,0,"$775,000"
"1773 Seward Ave, Bronx, NY 10473",6,3,3350,0,0,"$700,000"
"315 E 240th St, Bronx, NY 10470",4,3,1890,0,0,"$749,000"
"2889 Harrington Ave, Bronx, NY 10461",3,3,1408,0,0,"$799,999"
"3130 Kingsland Ave, Bronx, NY 10469",4,2,2736,0,0,"$799,000"
"25 Winters St, Bronx, NY 10464",3,2,1281,0,0,"$749,000"
"1273 Lohengrin Pl, Bronx, NY 10465",3,3,1296,0,0,"$750,000"
"2575 Palisade Ave APT 3L, Bronx, NY 10463",3,2,1400,0,0,"$725,000"
"4455 Douglas Ave APT 10C, Bronx, NY 10471",2,2,1351,0,0,"$749,000"
"2052 Caesar Pl, Bronx, NY 10473",5,4,2325,0,0,"$725,000"
"298 W 234th St, Bronx, NY 10463",3,2,1440,0,0,"$799,999"
"798 Elsmere Pl, Bronx, NY 10460",8,3,3304,0,0,"$729,000"
"1164 Rhinelander Ave, Bronx, NY 10461",3,3,2160,0,0,"$775,000"
"3211 Barnes Ave, Bronx, NY 10467",6,2,3624,0,0,"$795,000"
