Address,Beds,Baths,Area,Construction,Parking,Price
"1112 E 213th St, Bronx, NY 10469",0,0,1008,0,0,"$350,000"
"2873 Ely Ave #2, Bronx, NY 10469",2,2,983,0,0,"$360,000"
"49 White Plains Rd, Bronx, NY 10473",3,1,0,0,0,"$349,000"
"992 E 241st St, Bronx, NY 10466",3,1,1152,0,0,"$360,000"
"340 E Mosholu Pkwy S #2H, Bronx, NY 10458",3,2,1350,0,0,"$374,990"
"1093 Longwood Ave, Bronx, NY 10474",5,2,2142,0,0,"$300,000"
"4342 Edson Ave, Bronx, NY 10466",4,2,2862,0,0,"$360,000"
"6 Edgewater Park #6D, Bronx, NY 10465",3,1,900,0,0,"$368,000"
"3750 Hudson Manor Ter APT 2AW, Bronx, NY 10463",2,2,1200,0,0,"$388,000"
"695 King Ave, Bronx, NY 10464",3,2,880,0,0,"$359,900"
"53 Poplar Ave #53, Bronx, NY 10465",2,2,1225,0,0,"$349,000"
"4901 Henry Hudson Pkwy W APT 5K, Bronx, NY 10471",2,2,0,0,0,"$365,000"
"3901 Independence Ave APT 5F, Bronx, NY 10463",2,1,1000,0,0,"$305,000"
"3253B Barkley Ave, Bronx, NY 10465",2,2,0,0,0,"$389,000"
"1837 Burke Ave, Bronx, NY 10469",2,2,992,0,0,"$375,000"
"936 Union Ave #A, Bronx, NY 10459",3,2,1074,0,0,"$379,000"
"3635 Johnson Ave APT 5N, Bronx, NY 10463",3,2,1400,0,0,"$399,000"
"6601 Broadway APT 6A, Bronx, NY 10471",3,2,1100,0,0,"$325,000"
"555 Kappock St APT 8C, Bronx, NY 10463",2,2,1200,0,0,"$390,000"
"8 Fordham Hill Oval APT 15C, Bronx, NY 10468",3,2,1200,0,0,"$345,000"
"864 E 215th St, Bronx, NY 10467",0,0,2164,0,0,"$300,000"
"51B Edgewater Park Park #51B, Bronx, NY 10465",3,1,1184,0,0,"$357,900"
"555 Kappock St APT 8C, Bronx, NY 10463",2,2,0,0,0,"$390,000"
"4153 Edson Ave, Bronx, NY 10466",3,2,1233,0,0,"$399,000"
"3671 Hudson Manor Ter APT 2J, Bronx, NY 10463",2,2,1250,0,0,"$399,000"
"340 E Mosholu Pkwy S #2H, Bronx, NY 10458",3,2,1350,0,0,"$374,990"
"2155 Daly Ave APT 5A, Bronx, NY 10460",2,1,952,0,0,"$380,000"
"104 Fordham St UNIT 6, Bronx, NY 10464",2,1,784,0,0,"$319,000"
"235-B Edgewater Park Park #235B, Bronx, NY 10465",3,1,1100,0,0,"$329,900"
"3121 Middletown Rd APT 6K, Bronx, NY 10461",2,2,1250,0,0,"$349,000"
"1475 Thieriot Ave APT 2L, Bronx, NY 10460",3,2,1150,0,0,"$345,000"
"654 E 232nd St APT 3A, Bronx, NY 10466",3,2,1100,0,0,"$339,000"
"275 Buttrick Ave #DD2, Bronx, NY 10465",3,2,796,0,0,"$349,000"
"601 Kappock St APT 6K, Bronx, NY 10463",2,2,1250,0,0,"$390,000"
"3125 Tibbett Ave APT 10F, Bronx, NY 10463",3,2,1100,0,0,"$399,999"
"908 Union Ave #B, Bronx, NY 10459",3,0,1072,0,0,"$375,000"
"9 Elm Pl #9, Bronx, NY 10465",2,2,880,0,0,"$395,000"
"4445 Post Rd APT 3J, Bronx, NY 10471",2,1,1000,0,0,"$339,500"
"102 Edgewater Park UNIT 102B, Bronx, NY 10465",2,1,900,0,0,"$335,000"
"805 E 170th St, Bronx, NY 10459",6,2,1728,0,0,"$337,300"
"930A Union Ave #A, Bronx, NY 10459",3,2,1074,0,0,"$395,000"
