Address,Beds,Baths,Area,Construction,Parking,Price
"121 Tapscott St, Brooklyn, NY 11212",6,2,2240,0,0,"$466,000"
"1105 Winthrop St, Brooklyn, NY 11212",5,3,0,0,0,"$400,000"
"10837 Seaview Ave APT 33C, Brooklyn, NY 11236",2,2,1100,0,0,"$441,700"
"70 Clark St APT 5G, Brooklyn, NY 11201",0,1,410,0,0,"$470,000"
"2552 E 7th St #A2, Brooklyn, NY 11235",2,1,999,0,0,"$469,000"
"575 Ocean Ave #4A, Brooklyn, NY 11226",3,2,1213,0,0,"$499,000"
"170 72nd St #525A, Brooklyn, NY 11209",3,1,1100,0,0,"$499,000"
"933 E 106th St, Brooklyn, NY 11236",4,2,1440,0,0,"$450,000"
"198 8th Ave APT 3F, Brooklyn, NY 11215",1,1,0,0,0,"$420,000"
"100 Remsen St #K7, Brooklyn, NY 11201",1,1,800,0,0,"$475,000"
"55 Montgomery Pl APT 4F, Brooklyn, NY 11215",1,1,0,0,0,"$465,000"
"(Undisclosed Address), Brooklyn, NY 11233",5,3,0,0,0,"$500,000"
"33 Bogardus St, Brooklyn, NY 11235",2,1,0,0,0,"$475,000"
"832 Monroe St #1F, Brooklyn, NY 11221",1,2,881,0,0,"$499,000"
"154 S 3rd St APT 3, Brooklyn, NY 11211",2,1,0,0,0,"$499,000"
"225 S 3rd St APT 21, Brooklyn, NY 11211",2,1,510,0,0,"$465,000"
"519 Maple St #4C, Brooklyn, NY 11225",1,1,581,0,0,"$450,000"
"1409 Royce St APT 3, Brooklyn, NY 11234",2,2,986,0,0,"$445,000"
"444 67th St APT 1F, Brooklyn, NY 11220",2,2,1100,0,0,"$420,000"
"1335 E 40th St, Brooklyn, NY 11234",4,1,1998,0,0,"$450,000"
"220 Berkeley Pl APT 1E, Brooklyn, NY 11217",0,1,0,0,0,"$425,000"
"389 Sumpter St APT 2B, Brooklyn, NY 11233",1,1,589,0,0,"$449,000"
"389 Sumpter St APT 4A, Brooklyn, NY 11233",1,1,605,0,0,"$475,000"
"1405 Prospect Pl #A9, Brooklyn, NY 11213",3,1,991,0,0,"$405,000"
"225 S 3rd St APT 9, Brooklyn, NY 11211",2,1,538,0,0,"$405,000"
"44 Brighton 4 Ct, Brooklyn, NY 11235",4,2,1000,0,0,"$498,000"
"30 W End Ave, Brooklyn, NY 11235",3,1,0,0,0,"$449,888"
"439 Hicks St APT 5D, Brooklyn, NY 11201",1,1,500,0,0,"$450,000"
"1717 E 18th St APT 3B, Brooklyn, NY 11229",2,1,950,0,0,"$499,000"
"68 Garden St #B2F, Brooklyn, NY 11206",2,2,0,0,0,"$405,888"
"30 Clinton St #6B, Brooklyn, NY 11201",1,1,0,0,0,"$495,000"
"622 Grand Ave #102, Brooklyn, NY 11238",1,1,422,0,0,"$499,000"
"1615 Avenue I APT 106, Brooklyn, NY 11230",2,1,0,0,0,"$420,000"
"188 Hull St #A, Brooklyn, NY 11233",2,1,808,0,0,"$495,000"
"446 Kingston Ave APT F9, Brooklyn, NY 11225",2,1,1050,0,0,"$469,000"
"567 39th St APT 3R, Brooklyn, NY 11232",2,1,550,0,0,"$450,000"
"213 Eastern Pkwy APT 12, Brooklyn, NY 11238",1,1,0,0,0,"$475,000"
"167 Sands St APT 118, Brooklyn, NY 11201",1,1,700,0,0,"$459,000"
"410 Vermont St, Brooklyn, NY 11207",3,2,1134,0,0,"$499,000"
"44 Brighton 4th Ct, Brooklyn, NY 11235",4,2,900,0,0,"$498,000"
