Address,Beds,Baths,Area,Construction,Parking,Price
"2071 Homer Ave, Bronx, NY 10473",3,2,0,0,0,"$250,000"
"2040 Haviland Ave, Bronx, NY 10472",3,1,0,0,0,"$200,000"
"1205 Harding Park, Bronx, NY 10473",3,1,791,0,0,"$260,000"
"1001 Anderson Ave APT 12, Bronx, NY 10452",1,1,0,0,0,"$200,000"
"2922 Barnes Ave APT 3E, Bronx, NY 10467",3,1,1400,0,0,"$260,000"
"1430 Thieriot Ave APT 3L, Bronx, NY 10460",3,2,1100,0,0,"$299,999"
"1034 E 212th St, Bronx, NY 10469",3,2,2314,0,0,"$299,000"
"2090 E Tremont Ave APT 9D, Bronx, NY 10462",2,1,861,0,0,"$269,000"
"2244 Bronx Park E APT 2C, Bronx, NY 10467",2,1,893,0,0,"$210,000"
"1093 Longwood Ave, Bronx, NY 10474",5,2,2142,0,0,"$300,000"
"5500 Fieldston Rd APT 6JJ, Bronx, NY 10471",2,1,1065,0,0,"$239,901"
"2923 Bruner Ave, Bronx, NY 10469",2,1,1671,0,0,"$295,000"
"3065 Sedgwick Ave APT 5K, Bronx, NY 10468",2,1,1100,0,0,"$275,000"
"5235 Post Rd APT 1K, Bronx, NY 10471",2,2,900,0,0,"$290,000"
"1046 Faile St #1046C, Bronx, NY 10459",3,2,843,0,0,"$269,000"
"85B Edgewater Park #85B, Bronx, NY 10465",2,1,800,0,0,"$219,900"
"1000 Freeman St APT 3H, Bronx, NY 10459",3,2,1000,0,0,"$249,000"
"853 Macy Pl APT 6A, Bronx, NY 10455",2,2,975,0,0,"$259,000"
"764 Brady Ave APT 132, Bronx, NY 10462",2,1,1000,0,0,"$235,000"
"860 Grand Concourse APT 1A, Bronx, NY 10451",2,1,800,0,0,"$200,000"
"2922 Barnes Ave APT 6E, Bronx, NY 10467",3,1,1400,0,0,"$200,000"
"5715 Mosholu Ave APT 5C, Bronx, NY 10471",2,2,1100,0,0,"$250,000"
"1046 Faile St #1046B, Bronx, NY 10459",3,2,843,0,0,"$269,000"
"1705 Purdy St APT 6C, Bronx, NY 10462",3,1,1044,0,0,"$285,000"
"5425 Valles Ave APT 1L, Bronx, NY 10471",2,1,0,0,0,"$284,000"
"50 Edgewater Park #B, Bronx, NY 10465",2,1,750,0,0,"$279,000"
"2736 Independence Ave APT 3G, Bronx, NY 10463",2,1,900,0,0,"$245,000"
"864 E 215th St, Bronx, NY 10467",0,0,2164,0,0,"$300,000"
"601 Pelham Pkwy N APT 110, Bronx, NY 10467",2,1,825,0,0,"$225,000"
"6 Fordham Hill Oval APT 12C, Bronx, NY 10468",2,1,0,0,0,"$265,000"
"1047 Faile St APT 1, Bronx, NY 10459",2,1,764,0,0,"$249,000"
"762 Brady Ave APT 624, Bronx, NY 10462",2,1,906,0,0,"$202,000"
"555 Kappock St APT 25J, Bronx, NY 10463",1,1,825,0,0,"$234,000"
"5420 Netherland Ave APT B63, Bronx, NY 10471",1,1,850,0,0,"$222,500"
"1046 Faile St #1046A, Bronx, NY 10459",2,1,843,0,0,"$240,000"
"811 Walton Ave APT B12, Bronx, NY 10451",1,1,0,0,0,"$250,000"
"1275 Grant Ave APT 3B, Bronx, NY 10456",3,2,1100,0,0,"$240,000"
"2860 Bailey Ave APT 5D, Bronx, NY 10463",2,1,4,0,0,"$250,000"
"764 Brady Ave APT 133, Bronx, NY 10462",2,1,850,0,0,"$209,000"
"1349 Franklin Ave APT 1A, Bronx, NY 10456",2,2,780,0,0,"$269,900"
