Address,Beds,Baths,Area,Construction,Parking,Price
"49B Edgewater Park Park, Bronx, NY 10465",3,3,1400,0,0,"$485,000"
"43 Pennyfield Cp, Bronx, NY 10465",3,2,1120,0,0,"$485,000"
"750 Kappock St APT 1208, Bronx, NY 10463",2,2,1400,0,0,"$460,000"
"2064 Edenwald Ave, Bronx, NY 10466",4,2,1575,0,0,"$480,000"
"1611 Hammersley Ave, Bronx, NY 10469",3,2,1956,0,0,"$499,000"
"4811 Osgood St, Bronx, NY 10470",3,3,1647,0,0,"$499,900"
"3475 Greystone Ave APT 3B, Bronx, NY 10463",3,2,1350,0,0,"$450,000"
"49B Edgewater Park Park #48B, Bronx, NY 10465",3,3,1800,0,0,"$485,000"
"1309 Shakespeare Ave, Bronx, NY 10452",3,3,0,0,0,"$499,999"
"3347 Lucerne St, Bronx, NY 10465",4,2,2040,0,0,"$430,000"
"3315 Radio Dr, Bronx, NY 10465",1,2,684,0,0,"$499,000"
"1331 Chisholm St, Bronx, NY 10459",4,3,1500,0,0,"$459,000"
"412 Swinton Ave, Bronx, NY 10465",4,2,1880,0,0,"$475,000"
"1369 Intervale Ave, Bronx, NY 10459",3,3,1152,0,0,"$460,000"
"3360 Fort Independence St, Bronx, NY 10463",3,2,1634,0,0,"$499,900"
"629 Kappock St #4EF, Bronx, NY 10463",4,3,1700,0,0,"$499,000"
"450 Devoe Ave, Bronx, NY 10460",6,3,0,0,0,"$479,900"
"3149 Wissman Ave, Bronx, NY 10465",3,2,1494,0,0,"$409,300"
"1043 E 226th St, Bronx, NY 10466",3,2,0,0,0,"$449,999"
"825 Morrison Ave APT 2D, Bronx, NY 10473",3,2,1200,0,0,"$425,000"
"1301 College Ave, Bronx, NY 10456",4,1,1328,0,0,"$499,000"
"33 Edgewater Park #33C, Bronx, NY 10465",3,2,1450,0,0,"$429,000"
"555 Kappock St APT 26S, Bronx, NY 10463",2,2,1400,0,0,"$499,000"
"68 Poplar Ave #68, Bronx, NY 10465",5,2,1063,0,0,"$455,000"
"1709 Hobart Ave, Bronx, NY 10461",3,1,0,0,0,"$500,000"
"555 Kappock St APT 14D, Bronx, NY 10463",3,2,1400,0,0,"$449,900"
"2390 Palisade Ave APT 4F, Bronx, NY 10463",3,2,1400,0,0,"$449,900"
"2358 Lorillard Pl, Bronx, NY 10458",6,3,810,0,0,"$475,000"
"4901 Henry Hudson Pkwy W APT 5J, Bronx, NY 10471",3,2,1200,0,0,"$400,000"
"322 Leland Ave, Bronx, NY 10473",3,1,1260,0,0,"$489,000"
"2226 Givan Ave, Bronx, NY 10475",3,2,1116,0,0,"$449,000"
"1480 Louis Nine Out Of Avenue Town, Bronx, NY 10459",3,4,0,0,0,"$500,000"
"238 Sunset Blvd, Bronx, NY 10473",3,3,1068,0,0,"$450,000"
"555 Kappock St #S26, Bronx, NY 10463",2,2,1400,0,0,"$499,000"
"1425 Beach Ave, Bronx, NY 10460",3,2,1260,0,0,"$449,000"
"5700 Arlington Ave #2MN, Bronx, NY 10471",3,2,1200,0,0,"$449,900"
"34C Edgewater Park #34C, Bronx, NY 10465",3,1,1400,0,0,"$449,900"
"1033 Rev James A Polite Ave, Bronx, NY 10459",0,0,2118,0,0,"$485,000"
"3457 Ely Ave, Bronx, NY 10469",3,3,1200,0,0,"$499,000"
"24 Maple Ave #24, Bronx, NY 10465",3,2,1056,0,0,"$435,000"
