Address,Beds,Baths,Area,Construction,Parking,Price
"10727 155th St, Jamaica, NY 11433",6,3,3120,0,0,"$300,000"
"21525 111th Rd, Jamaica, NY 11429",4,2,1344,0,0,"$370,000"
"105-14 134th St, South Richmond Hill, NY 11419",3,3,1264,0,0,"$389,000"
"18-70 211th St #6D, Bayside, NY 11360",3,2,0,0,0,"$325,000"
"29-50 137th St #F, Flushing, NY 11354",2,2,1100,0,0,"$328,888"
"31-85 Crescent St APT 307, Astoria, NY 11106",0,1,500,0,0,"$325,000"
"18-40 211th St #3D, Bayside, NY 11360",3,1,0,0,0,"$315,000"
"14-17 31st Ave #4B, Astoria, NY 11106",1,1,0,0,0,"$385,000"
"13437 155th St, Jamaica, NY 11434",4,2,1920,0,0,"$389,000"
"104-46 114th St, South Richmond Hill, NY 11419",3,3,0,0,0,"$400,000"
"220-55 46th Ave #11A, Bayside, NY 11361",1,1,750,0,0,"$324,888"
"15038 Union Tpke APT 3D, Flushing, NY 11367",0,1,0,0,0,"$318,000"
"39-76 57th St APT 1H, Woodside, NY 11377",1,1,750,0,0,"$360,000"
"98-50 63rd Dr #6G, Rego Park, NY 11374",1,1,0,0,0,"$369,000"
"92-29 Lamont Ave APT 7L, Elmhurst, NY 11373",1,1,800,0,0,"$328,000"
"39-60 54th St #8-S, Woodside, NY 11377",1,1,780,0,0,"$338,000"
"142-05 Roosevelt Ave #536, Flushing, NY 11354",2,1,0,0,0,"$350,000"
"329 Beach 45th St, Far Rockaway, NY 11691",6,2,2958,0,0,"$350,000"
"104-54 164th St, Jamaica, NY 11433",5,2,0,0,0,"$310,000"
"159-14 Cross Island Pkwy #62, Whitestone, NY 11357",2,1,0,0,0,"$395,000"
"211-40 18th Ave #6F, Bayside, NY 11360",2,2,0,0,0,"$318,000"
"67-02 Almeda Ave, Arverne, NY 11692",3,2,2400,0,0,"$399,999"
"242-08 Horace Harding Expy FLOOR 2, Little Neck, NY 11362",3,1,0,0,0,"$319,000"
"60-11 Broadway #4R, Woodside, NY 11377",3,2,1622,0,0,"$329,000"
"21-77 33rd St #5F, Astoria, NY 11105",4,1,1500,0,0,"$395,000"
"75-20 Springfield Blvd FLOOR 2, Oakland Gardens, NY 11364",2,1,725,0,0,"$369,000"
"30-06 29th St #6S, Astoria, NY 11102",1,1,0,0,0,"$399,000"
"88-15 Shore Pkwy #14, Howard Beach, NY 11414",3,1,0,0,0,"$325,888"
"83-37 Saint James Ave #5L, Elmhurst, NY 11373",1,1,825,0,0,"$349,000"
"255-22 61st Ave UNIT 1, Little Neck, NY 11362",3,1,960,0,0,"$389,000"
"127-01 107th Ave, South Richmond Hill, NY 11419",3,2,1446,0,0,"$375,000"
"68-63 108th St #6N, Forest Hills, NY 11375",2,1,0,0,0,"$350,000"
"151-44 80th St #1D, Howard Beach, NY 11414",2,2,1020,0,0,"$395,000"
"241-20 Northern Blvd APT 6B, Little Neck, NY 11362",2,1,1500,0,0,"$395,000"
"137-14 97th St, Ozone Park, NY 11417",3,2,296,0,0,"$370,000"
"1566 212th St, Bayside, NY 11360",2,1,0,0,0,"$379,500"
"6937 Elizabeth Ave, Far Rockaway, NY 11692",2,1,902,0,0,"$330,000"
"99-10 60th Ave #5H, Corona, NY 11368",3,2,1200,0,0,"$389,000"
"146-58 182nd St, Springfield Gardens, NY 11413",2,1,960,0,0,"$329,000"
"99-06 212th St, Queens Village, NY 11429",4,3,2057,0,0,"$400,000"
"48-50 44th St APT 3E, Woodside, NY 11377",1,1,600,0,0,"$319,000"
