Address,Beds,Baths,Area,Construction,Parking,Price
"11-42 31st Ave #3A, Astoria, NY 11106",1,1,726,0,0,"$499,000"
"1 Bay Club Dr APT 5W, Flushing, NY 11360",1,1,0,0,0,"$438,000"
"104-46 114th St, South Richmond Hill, NY 11419",3,3,0,0,0,"$400,000"
"(Undisclosed Address), Springfield Gardens, NY 11413",7,2,2638,0,0,"$450,000"
"445 Beach 21st St, Far Rockaway, NY 11691",5,3,0,0,0,"$475,000"
"7123 162nd St APT 1J, Fresh Meadows, NY 11365",1,2,1023,0,0,"$499,000"
"149-58 258th St #1, Rosedale, NY 11422",3,2,1296,0,0,"$449,995"
"7914 Rockaway Beach Blvd #2R, Far Rockaway, NY 11693",3,2,1295,0,0,"$489,900"
"111-24 170th St, Jamaica, NY 11433",3,2,0,0,0,"$485,000"
"115-29 172nd St, Jamaica, NY 11434",3,2,1264,0,0,"$480,000"
"11-11 Grassmere Ter, Far Rockaway, NY 11691",4,3,0,0,0,"$499,200"
"212-25 15th Ave #293, Bayside, NY 11360",3,2,0,0,0,"$449,000"
"4-74 48th Ave #34-G, Long Island City, NY 11109",1,1,640,0,0,"$465,000"
"76-01 113th St PENTHOUSE C, Forest Hills, NY 11375",2,2,835,0,0,"$449,900"
"66-36 Yellowstone Blvd APT 2F, Forest Hills, NY 11375",2,2,1150,0,0,"$499,000"
"42-28 214th Pl #1B, Bayside, NY 11361",1,1,708,0,0,"$489,000"
"99-06 212th St, Queens Village, NY 11429",4,3,2057,0,0,"$400,000"
"115-11 180th St, Jamaica, NY 11434",3,2,0,0,0,"$439,000"
"10-24 166th St APT 3B, Whitestone, NY 11357",3,1,1300,0,0,"$400,000"
"84-49 168th St #1M, Jamaica, NY 11432",3,2,0,0,0,"$460,000"
"111-07 208th St, Queens Village, NY 11429",3,2,0,0,0,"$449,000"
"24106 137th Ave, Jamaica, NY 11422",4,2,1676,0,0,"$409,000"
"69-27 136th St, Flushing, NY 11367",3,1,0,0,0,"$409,000"
"31-31 54th St #1, Woodside, NY 11377",1,1,0,0,0,"$439,000"
"4-74 48th Ave #4B, Queens, NY 11109",0,1,480,0,0,"$425,000"
"227-32 113th Ave, Queens Village, NY 11429",2,2,750,0,0,"$485,000"
"85-26 Dumont Avenue #10B, Ozone Park, NY 11417",3,2,0,0,0,"$478,000"
"15313 118th Ave, Jamaica, NY 11434",2,1,1325,0,0,"$439,888"
"144-46 38th Ave #4H, Flushing, NY 11354",2,1,0,0,0,"$429,000"
"6725 Clyde St APT 5F, Flushing, NY 11375",2,2,0,0,0,"$458,000"
"166-31 9th Ave #4B, Whitestone, NY 11357",3,1,0,0,0,"$408,888"
"162-20 9th Ave APT 9A, Whitestone, NY 11357",3,1,0,0,0,"$400,000"
"32-58 105th St #4A, East Elmhurst, NY 11369",1,1,600,0,0,"$435,000"
"168-11 116th Ave, Jamaica, NY 11434",6,2,0,0,0,"$500,000"
"44-14 Newtown Rd #4S, Astoria, NY 11103",1,1,1020,0,0,"$430,000"
"98-40 64th Ave APT 5H, Rego Park, NY 11374",2,1,0,0,0,"$429,000"
"21-10 33rd Ave #2B, Astoria, NY 11106",2,1,0,0,0,"$425,000"
"70-87 Park Ln #2, Little Neck, NY 11363",1,1,0,0,0,"$439,888"
"212-21 15th Ave #1, Bayside, NY 11360",3,2,1100,0,0,"$479,000"
"64-79 59th Ave, Maspeth, NY 11378",1,1,0,0,0,"$445,000"
"3343 14th St APT 2D, Astoria, NY 11106",2,1,0,0,0,"$465,000"
