Address,Beds,Baths,Area,Construction,Parking,Price
"409 Hunter Ave, Staten Island, NY 10306",1,1,0,0,0,"$180,000"
"(Undisclosed Address), Staten Island, NY 10310",3,2,0,0,0,"$159,000"
"123 Roe St, Staten Island, NY 10310",2,1,1056,0,0,"$199,000"
"22 Stratford Ave #B, Staten Island, NY 10301",1,1,680,0,0,"$159,900"
"475 Armstrong Ave APT A4, Staten Island, NY 10308",1,1,900,0,0,"$189,000"
"760 Seaview Ave, Staten Island, NY 10305",2,0,800,0,0,"$198,000"
"172 Holland Ave, Staten Island, NY 10303",0,0,0,0,0,"$100,000"
"49 Vera St APT A, Staten Island, NY 10305",1,1,650,0,0,"$188,000"
"2701 Goethals Rd N #B11, Staten Island, NY 10303",2,2,840,0,0,"$189,000"
"6 New Ln APT 1C, Staten Island, NY 10305",0,1,436,0,0,"$199,900"
"51 Vera St APT A, Staten Island, NY 10305",0,0,425,0,0,"$125,000"
"0 Saint Pauls Ave, Staten Island, NY 10304",0,0,0,0,0,"$159,000"
"1100 Clove Rd APT 3K, Staten Island, NY 10301",1,1,800,0,0,"$185,000"
"36 Hamilton Ave APT 4N, Staten Island, NY 10301",0,1,400,0,0,"$185,000"
"0 Savoy St, Staten Island, NY 10306",0,0,0,0,0,"$149,000"
"37 Vera St #A, Staten Island, NY 10305",0,1,450,0,0,"$117,000"
"1100 Clove Rd APT 2D, Staten Island, NY 10301",2,1,800,0,0,"$199,999"
"334 York Ave, Staten Island, NY 10301",0,0,0,0,0,"$129,000"
"0 Layton Ave, Staten Island, NY 10301",0,0,0,0,0,"$149,000"
"0 Park Pl, Staten Island, NY 10301",0,0,0,0,0,"$195,000"
"38 Reid Ave, Staten Island, NY 10305",1,2,512,0,0,"$199,000"
"10 Webster Ave, Staten Island, NY 10301",2,1,1920,0,0,"$199,000"
"150 Colton St APT 1C, Staten Island, NY 10305",0,1,500,0,0,"$167,777"
"0 The Blvd, Staten Island, NY 10314",0,0,0,0,0,"$125,000"
"118 Grimsby St, Staten Island, NY 10306",0,0,0,0,0,"$129,000"
"92 Husson St APT B, Staten Island, NY 10305",1,1,600,0,0,"$199,000"
"105 Roosevelt Ave, Staten Island, NY 10314",0,0,0,0,0,"$200,000"
"1160 Richmond Rd APT 5D, Staten Island, NY 10304",0,1,600,0,0,"$179,900"
"0 Baden Pl, Staten Island, NY 10306",0,0,0,0,0,"$199,999"
"0 Victory Blvd, Staten Island, NY 10314",0,0,0,0,0,"$175,000"
"38 Targee St, Staten Island, NY 10304",0,0,0,0,0,"$199,000"
"0 Larkin St, Staten Island, NY 10302",0,0,0,0,0,"$150,000"
"98 Husson St #C, Staten Island, NY 10305",0,1,350,0,0,"$139,900"
"36 Hamilton Ave APT 1B, Staten Island, NY 10301",1,1,550,0,0,"$169,000"
"0 Rosewood Ln, Castleton, VT 05735",0,0,0,0,0,"$125,000"
"1100 Clove Rd APT 3F, Staten Island, NY 10301",0,1,525,0,0,"$115,000"
