Address,Beds,Baths,Area,Construction,Parking,Price
"585 Castleton Ave APT 2A, Staten Island, NY 10301",1,1,630,0,0,"$205,000"
"20 Cliff St APT 3F, Staten Island, NY 10305",1,1,680,0,0,"$299,000"
"920 Armstrong Ave APT 1-3, Staten Island, NY 10308",2,1,905,0,0,"$299,000"
"155 Arlo Rd #B, Staten Island, NY 10301",2,1,850,0,0,"$279,000"
"190 Vanderbilt Ave, Staten Island, NY 10304",3,1,1040,0,0,"$275,000"
"3747 Amboy Rd APT 2B, Staten Island, NY 10308",1,1,750,0,0,"$275,000"
"204 Arlington Pl, Staten Island, NY 10303",3,2,1350,0,0,"$285,000"
"369 Hamden Ave, Staten Island, NY 10306",1,1,430,0,0,"$300,000"
"166 Roma Ave, Staten Island, NY 10306",3,1,768,0,0,"$229,000"
"227 Anderson St, Staten Island, NY 10305",3,1,800,0,0,"$229,999"
"204 Park Ave, Staten Island, NY 10302",0,0,1592,0,0,"$299,000"
"163 Pond Way #A, Staten Island, NY 10303",2,1,845,0,0,"$299,999"
"36 Hamilton Ave APT 6H, Staten Island, NY 10301",1,1,850,0,0,"$289,500"
"416 Hamden Ave, Staten Island, NY 10306",1,1,395,0,0,"$249,900"
"92 Husson St APT C, Staten Island, NY 10305",1,1,650,0,0,"$205,000"
"230 Ilyssa Way, Staten Island, NY 10312",2,2,1553,0,0,"$299,999"
"267 Colony Ave, Staten Island, NY 10306",2,1,450,0,0,"$248,000"
"148 Bard Ave APT 21B, Staten Island, NY 10310",2,1,735,0,0,"$250,000"
"100 Colfax Ave APT 7C, Staten Island, NY 10306",2,1,946,0,0,"$285,000"
"55 Austin Pl APT 6K, Staten Island, NY 10304",1,1,837,0,0,"$290,000"
"1000 Clove Rd APT 2R, Staten Island, NY 10301",2,2,900,0,0,"$235,000"
"108A Laurel Ave, Staten Island, NY 10304",3,2,1056,0,0,"$292,500"
"163A Pond Way, Staten Island, NY 10303",2,1,845,0,0,"$299,999"
"65 Elmwood Park Dr APT 1, Staten Island, NY 10314",1,1,714,0,0,"$288,000"
"755 Narrows Rd N APT 713, Staten Island, NY 10304",1,1,689,0,0,"$239,000"
"55 Austin Pl APT 3G, Staten Island, NY 10304",2,1,865,0,0,"$249,000"
"3745 Amboy Rd APT 14A, Staten Island, NY 10308",1,1,700,0,0,"$230,000"
"14 Leonard Ave, Staten Island, NY 10314",0,0,0,0,0,"$224,900"
"185 Winding Woods Loop #74, Staten Island, NY 10307",1,1,819,0,0,"$299,000"
"1298 Rockland Ave APT 1G, Staten Island, NY 10314",1,1,640,0,0,"$299,000"
"23 Richmond Ct #17A, Staten Island, NY 10303",2,1,847,0,0,"$235,000"
"189 Pond Way #B, Staten Island, NY 10303",4,2,1398,0,0,"$299,000"
"65-1 Elmwood Park Dr, Staten Island, NY 10314",1,1,714,0,0,"$288,000"
"269 Maple Park Way #128, Staten Island, NY 10303",2,1,738,0,0,"$299,000"
"755 Narrows Rd N, Staten Island, NY 10304",1,1,656,0,0,"$240,000"
"1000 Clove Rd APT 10P, Staten Island, NY 10301",1,1,800,0,0,"$269,900"
"55 Austin Pl APT 5L, Staten Island, NY 10304",1,1,837,0,0,"$280,000"
"159 Arlo Rd #A, Staten Island, NY 10301",1,1,650,0,0,"$210,000"
"22 Bay Ter APT 1G, Staten Island, NY 10306",1,1,625,0,0,"$249,900"
"1000 Clove Rd APT 3A, Staten Island, NY 10301",2,2,11000,0,0,"$250,000"
